Illyria ,/n./@伊利里亞;
ascetic ,/adj./@苦行的;
aseptic ,/adj./@消毒的;
atheism ,/n./@無神論;,/n./@不信神;
placebo ,/n./@安慰剂;,/n./@晚祷词;
careful ,/adj./@小心的;
Caspian ,/adj./@裡海的;
Vatican ,/n./@梵蒂岡;,/n./@天主教廷;
abiding ,/adj./@持久的;
ability ,/n./@能力;
bargain ,/v./@討價還價;
abstain ,/v./@自我克制;
acclaim ,/v./@稱讚;
capital ,/n./@首都;,/n./@資本;,/adj./@死刑的;
captain ,/n./@船長;
fanatic ,/n./@狂熱者;,/n./@狂熱分子;,/n./@入迷者;,/adj./@狂熱的;,/adj./@入迷的;
agility ,/n./@敏捷;,/n./@靈活;
against ,/v./@反對;
gracias ,/n./@謝謝;
magical ,/adj./@魔術的;,/adj./@魔法般的;
marital ,/adj./@婚姻的;,/adj./@夫妻間的;
amazing ,/adj./@令人驚訝的;
pacific ,/adj./@和平的;
paladin ,/n./@騎士;,/n./@遊俠;
partial ,/adj./@部分的;
archaic ,/adj./@古代的;,/adj./@古體的;,/adj./@過時的;,/adj./@已廢的;
radical ,/adj./@激進的;,/adj./@根本的;,/adj./@極端的;
radiant ,/adj./@發光的;
railway ,/n./@鐵路;
airship ,/n./@氣艇;
artisan ,/n./@工匠;,/n./@技工;
spatial ,/adj./@空間的;,/adj./@空間性的;
stamina ,/n./@毅力;,/n./@精力;,/n./@活力;,/n./@持久力;,/n./@耐力;
avidity ,/n./@狂熱;
vaginal ,/adj./@阴道的;,/adj./@葉鞘的;
valiant ,/adj./@英勇的;
vatican ,/n./@梵蒂岡;
baptise ,/v./@施洗;,/v./@洗禮;,/v./@洗滌;
baptize ,/v./@施洗;,/v./@命名;
barrier ,/n./@障礙;,/n./@壁壘;
cabinet ,/n./@內閣;,/n./@壁櫥;,/n./@座舱;,/n./@柜;
chalice ,/n./@杯;,/n./@酒杯;
capsize ,/v./@傾覆;,/v./@翻覆;
carrier ,/n./@載體;,/n./@航空母艦;
carbine ,/n./@卡賓槍;
carmine ,/n./@洋紅;,/adj./@洋紅色的;
cashier ,/n./@出納;
cyanide ,/n./@氰化物;
farrier ,/n./@蹄鐵匠;,/n./@蹄鐵工;
fragile ,/adj./@易碎的;,/adj./@脆的;
granite ,/n./@花崗岩;,/n./@花崗石;
hyaline ,/adj./@透明的;,/n./@藍天;,/n./@鏡似的海;
jasmine ,/n./@茉莉;,/n./@淡黃色;
ailment ,/n./@疾病;,/n./@小病;
lattice ,/n./@晶格;,/n./@框架;,/n./@結構;,/n./@格子;
ambient ,/adj./@周圍的;,/adj./@外界的;,/adj./@環繞的;
machine ,/n./@機械;
aimless ,/adj./@无目的的;
ancient ,/adj./@古代的;
anxiety ,/n./@緊張;,/n./@焦慮;
apprise ,/v./@通知;
pastime ,/n./@消遣;
passive ,/adj./@被動的;,/adj./@消極的;,/adj./@順從的;,/adj./@被動語態的;,/n./@被動語態;
patient ,/n./@患者;,/adj./@耐心的;
archive ,/n./@檔案館;,/n./@檔案文件;,/v./@存档;
raiment ,/n./@衣服;
article ,/n./@文章;,/n./@條款;,/n./@物品;,/n./@冠詞;
ascribe ,/vt./@歸因於;,/vt./@歸屬於;
salient ,/adj./@顯著的;,/adj./@突出的;,/adj./@凸出的;,/adj./@突起的;
sapient ,/n./@智人;,/adj./@智人的;,/adj./@智慧的;,/adj./@聰明的;
tactile ,/adj./@觸覺的;
trailer ,/n./@拖車;,/n./@預告片;,/n./@追蹤者;
vaccine ,/n./@疫苗;
vampire ,/n./@吸血鬼;
variety ,/n./@多樣;
bastion ,/n./@稜堡;,/n./@堡壘;
chariot ,/n./@双轮战车;
caption ,/n./@標題;
faction ,/n./@派別;,/n./@小集團;,/n./@内訌;
fashion ,/n./@時尚;
mansion ,/n./@大廈;,/n./@宅邸;
apricot ,/n./@杏;,/n./@杏樹;,/adj./@杏黃色的;
passion ,/n./@激情;,/n./@熱情;
patriot ,/n./@愛國者;
rainbow ,/n./@彩虹;
airport ,/n./@飛機場;
station ,/n./@車站;
traitor ,/n./@叛徒;
warrior ,/n./@戰士;
calcium ,/n./@钙;
cranium ,/n./@顱;,/n./@頭蓋骨;
gladius ,/n./@短劍;
maximum ,/n./@最大値;
stadium ,/n./@體育場;,/n./@運動場;
balloon ,/n./@氣球;
abandon ,/v./@抛棄;
bravado ,/n./@虛張聲勢;,/n./@冒險;
acrobat ,/n./@雜技演員;,/n./@特技演員;
cartoon ,/n./@卡通;,/n./@動漫;
dragoon ,/n./@龍騎兵;,/n./@重騎兵;,/vt./@迫使;
harpoon ,/n./@魚叉;
alcohol ,/n./@酒;
matador ,/n./@斗牛士;
analogy ,/n./@類比;,/n./@類似;,/n./@類推;
anomaly ,/n./@異常;,/n./@反常;
anatomy ,/n./@解剖學;
pharaoh ,/n./@法老;
apology ,/v./@道歉;
platoon ,/n./@排;,/n./@群;,/n./@組;
paradox ,/n./@悖論;,/n./@矛盾;
paragon ,/n./@模範;,/adj./@完美的;,/n./@完美之物;
apropos ,/adj./@恰好的;
baloney ,/n./@胡話;,/n./@瞎扯;,/n./@胡扯;,/n./@胡說;
absolve ,/v./@解除責任;,/vt./@寬恕;,/vt./@赦免;
bayonet ,/n./@刺刀;
laborer ,/n./@勞工;,/n./@勞動者;
alloted ,/adj./@轉款的;,/adj./@撥出的;
manhole ,/n./@人井;
another ,/adj./@另一個;
approve ,/v./@同意;,/v./@批准;
tadpole ,/n./@蝌蚪;
abolish ,/v./@廢除;,/v./@取消;
chaotic ,/adj./@混亂的;,/adj./@紊亂的;
android ,/n./@機器人;
appoint ,/v./@任命;,/v./@約定;
account ,/n./@賬戶;,/v.//n./@解釋;,/v./@認爲;
adjourn ,/v./@延期;,/vt./@中止;,/vt./@休會;,/vt./@休庭;
fallout ,/n./@輻射性落塵;,/n./@餘波;,/n./@後果;,/n./@附帶結果;
glamour ,/n./@魅力;,/n./@迷惑;
harbour ,/n./@港灣;
parcour ,/redirected./@target="parkour";
parkour ,/n./@跑酷;
parlour ,/n./@客廳;,/n./@會客室;
January ,/n./@一月;
factual ,/adj./@事實的;,/adj./@事实性的;,/adj./@如實的;,/adj./@真實的;
angular ,/adj./@角狀的;
natural ,/adj./@自然的;
applaud ,/v./@鼓掌;,/v./@稱贊;,/v./@喝彩;
assault ,/v./@襲擊;,/v./@攻擊;,/v./@突襲;
spatula ,/n./@小鏟;
capsule ,/n./@胶囊;,/n./@航天舱;,/n./@瓶封;
capture ,/v./@俘獲;,/v./@捕獲;
augment ,/v./@增大;,/v./@加強;,/v./@擴大;,/v./@增加;,/v./@提高;
hauberk ,/n./@锁子甲;
lacquer ,/n./@漆;,/n./@漆器;,/v./@塗@漆;
launder ,/v./@洗滌;,/v./@清洗;
rapture ,/n./@狂喜;,/n./@著迷;,/n./@痴迷;
asunder ,/adv./@分離地;,/adv./@支離破碎地;
caustic ,/adj./@腐蝕性的;,/adj./@苛性的;,/adj./@尖刻的;,/adj./@刻薄的;,/adj./@焦散的;
autopsy ,/n./@驗屍;
between ,/prep./@在之間;
defence ,/n./@防衛;,/n./@防禦;,/n./@防護;,/n./@保衛;,/n./@答辯;,/n./@抗辯;,/n./@國防;
defense ,/redirected./@target="defence";
deplete ,/v./@耗盡;,/v./@用盡;,/v./@衰竭;
deserve ,/v./@應受;,/v./@應得;
genteel ,/adj./@有教養的;,/adj./@文雅的;
leecher ,/n./@吸血騾;,/n./@吸血鬼;
element ,/n./@元素;,/n./@要素;
precede ,/v./@在前;,/vt./@先於;,/vt./@高於;
reserve ,/v./@保留;,/v./@儲備;,/v./@預約;
revenge ,/v.//n./@報復;,/v.//n./@復仇;
reverse ,/v./@顛倒;,/n./@相反;,/adj./@反面的;
steeple ,/n./@尖塔;,/n./@尖頂;
expense ,/v./@損失;,/v./@消費;
extreme ,/adj./@極度的;,/n./@極端;
beneath ,/prep./(在...)@之下;
breathe ,/v./@呼吸;
cleanse ,/v./@淨化;
debacle ,/n./@崩潰;,/n./@災害;,/n./@解凍;
declare ,/v./@聲明;
deflate ,/v./@收縮;,/v./@緊縮;
derange ,/v./@擾亂;,/v./@錯亂;
feather ,/n./@羽毛;
general ,/adj./@普通的;,/adj./@大體的;,/adj./@一般的;,/adj./@綜合的;
germane ,/adj./@適用的;
greater ,/adj./@更大的;
hectare ,/n./@公頃;
hearken ,/v./@傾聽;
hearsay ,/n./@傳聞;,/n./@風聞;,/n./@謠傳;
heather ,/adj./@雜色的;,/n./@石南;
leaflet ,/n./@傳單;
elegant ,/adj./@優雅的;,/adj./@雅緻的;,/adj./@簡明的;,/adj./@精緻的;,/adj./@優美的;
embrace ,/v./@擁抱;,/v./@包含;
meander ,/n./@河曲;,/n./@曲徑;,/v./@蜿蜒;,/v./@閒逛;,/v./@漫談;
emplace ,/v./@安放;,/v./@安置;,/v./@放列;
emerald ,/n./@綠寶石;,/n./@祖母綠;,/n./@翡翠绿;,/adj./@綠寶石製的;
message ,/n./@信息;,/n./@音訊;
methane ,/n./@甲烷;,/n./@沼氣;
enclave ,/n./@飞地;
engrave ,/v./@刻上;
enhance ,/v./@增強;
ensnare ,/vt./@誘捕;,/vt./@誘入圈套;,/vt./@陷害;
penance ,/n./@苦修;,/n./@苦行;,/n./@補贖;
prepare ,/v./@准備;
preface ,/n./@序言;,/n./@前言;,/n./@引语;,/n./@开场白;
pervade ,/vt./@彌漫於;
peasant ,/n./@農民;
earflap ,/n./@耳罩;
earnest ,/adj./@認眞的;
renewal ,/n./@更新;,/n./@恢復;,/n./@復興;,/n./@革新;,/n./@續訂;,/n./@續借;
replace ,/v./@代替;
reshape ,/v./@重塑;
earthen ,/adj./@土製的;,/adj./@陶製的;,/adj./@地球上的;
sealant ,/n./@密封材料;,/n./@密封物;,/n./@密封劑;
seastar ,/n./@海星;
several ,/adj./@幾個;,/adj./@數個;
sweater ,/n./@毛綫衣;
teacher ,/n./@教師;
theater ,/redirected./@target="theatre";
theatre ,/n./@劇院;
tenable ,/adj./@站得住腳的;,/adj./@守得住的;
terrace ,/n./@平臺;,/n./@臺階;
eternal ,/adj./@永恆的;
evangel ,/n./@福音;
ventage ,/n./@漏口;
veteran ,/n./@老兵;
webpage ,/n./@網頁;
whereas ,/conj./@然而;,/conj./@鑒于;,/conj./@盡管;
welfare ,/n./@福利;
weather ,/n./@天氣;
exalted ,/adj./@髙尚的;
example ,/n./@例子;
expanse ,/n./@廣闊;
bearing ,/n./@軸承;
ceramic ,/adj./@陶瓷的;,/n./@陶瓷;
certain ,/adj./@某一;,/adj./@必然的;,/adj./@確信;,/adj./@有把握的;
declaim ,/v./@演講;
dealing ,/n./@處理;,/n./@交往;,/n./@生意;
despair ,/n./@絕望;
gelatin ,/n./@明膠;,/n./@動物膠;,/n./@膠製品;
heating ,/n./@供暖;
heavily ,/adv./@重地;
elastic ,/adj./@有彈性的;
melanin ,/n./@黑色素;
meaning ,/n./@意義;,/n./@意思;
mermaid ,/n./@人魚;
pertain ,/vi./@屬於;,/vi./@關於;,/vi./@適合;
prevail ,/v./@流行;,/v./@盛行;,/v./@戰勝;
reclaim ,/v./@囬收;,/v./@開拓;
refrain ,/v./@抑制;,/v./@節制;
reality ,/n./@事實;,/n./@實際;,/n./@眞實;
erratic ,/adj./@不穩定的;,/adj./@無規律的;,/adj./@飄忽不定的;,/adj./@难以预测的;,/adj./@難以捉摸的;
terrain ,/n./@地形;,/n./@地勢;
exclaim ,/v./@呼喊;,/v./@感嘆;
explain ,/v./@解釋;
hexagon ,/n./@六邊形;,/n./@六角形;
peacock ,/n./@雄孔雀;,/n./@孔雀;
realtor ,/n./@房地產經紀人;
treason ,/n./@叛国罪;,/n./@叛国;
Centaur ,/redirected./@target="Centaurus";
centaur ,/n./@半人馬;
default ,/n./@默認;,/v.//n./@拖欠;,/v.//n./@不履行;
pegasus ,/n./@飛馬;,/n./@詩人的靈感;
seagull ,/n./@海鷗;
tetanus ,/n./@破伤风;
exhaust ,/v./@枯竭;
benefit ,/n./@利益;
besides ,/adv.//prep./@除此之外;
ceiling ,/n./@天花板;
crevice ,/n./@裂縫;,/n./@裂隙;
debrief ,/vt./@聽取匯報;,/vt./@聽取報告;
decibel ,/n./@分貝;
decline ,/v./@下降;,/v./@謝絕;
deficit ,/n./@赤字;
deliver ,/v./@交付;,/v./@傳送;,/v./@遞送;,/v./@接生;
deprive ,/vt./@剝奪;,/vt./@奪走;,/vt./@搶走;,/vt./@使喪失;
despise ,/vt./@鄙視;
despite ,/v./@不管;,/v./@盡管;
destine ,/v./@註定;,/v./@預定;
feigned ,/adj./@假的;
feeling ,/n./@感觉;,/n./@知觉;,/n./@感情;
fertile ,/adj./@肥沃的;,/adj./@富饒的;
generic ,/adj./@類的;,/adj./@一般的;,/adj./@屬的;
genetic ,/adj./@遺傳的;,/adj./@基因的;
gentile ,/n./@異教徒;
heiress ,/n./@女繼承人;
lenient ,/adj./@仁慈的;,/adj./@寬大的;,/adj./@寬宏的;,/adj./@寬厚的;,/adj./@寬鬆的;
elitism ,/n./@菁英主義;,/n./@菁英統治;
eminent ,/adj./@傑出的;
neither ,/adv./@既不;,/conj./@既不;
entitle ,/v./@題名;
entwine ,/vt./@纏繞;,/vt./@糾纏;,/vt./@交錯;
pensive ,/adj./@沉思的;,/adj./@憂慮的;
precise ,/adj./@精確;
premier ,/n./@首相;,/n./@總理;,/adj./@首要的;,/adj./@首位的;,/adj./@最先的;
premise ,/v./@引出;,/v./@预先提出;,/n./@假定;,/n./@前提;
preside ,/v./@主持;
preview ,/v./@預覽;
recline ,/v./@倚靠;
receipt ,/n./@收據;,/n./@发票;
respite ,/n./@緩解;,/n./@暫緩;
retired ,/adj./@退休的;
seismic ,/adj./@地震的;,/adj./@地震引起的;
species ,/n./@種類;
service ,/n./@服務;
servile ,/adj./@卑躬屈膝的;,/adj./@卑賤的;,/adj./@卑躬的;,/adj./@低下的;,/adj./@谄媚的;,/adj./@奴隸的;,/adj./@奴性的;
sterile ,/adj./@不育的;,/adj./@無菌的;,/adj./@貧瘠的;
termite ,/n./@白蟻;
textile ,/n./@紡織品;,/adj./@紡織的;
evident ,/adj./@證據確鑿的;
vehicle ,/n./@車輛;
vestige ,/n./@遺迹;,/n./@残迹;,/n./@丝毫;,/n./@残余;
exhibit ,/v./@展示;,/v./@展出;,/v./@展覽;
Grecian ,/adj./@古希臘的;
decimal ,/adj./@十進制的;,/adj./@小數的;
defiant ,/adj./@挑釁的;
deviant ,/adj./@越軌的;,/adj./@離譜的;,/adj./@異常的;,/adj./@偏常的;,/adj./@怪異的;,/n./@偏常者;,/n./@異常物;
genital ,/adj./@生殖的;,/adj./@生殖器的;
lexical ,/adj./@詞彙的;
epigram ,/n./@警句;
predial ,/adj./@土地的;,/adj./@农业的;,/n./@农奴;
epitaph ,/n./@墓志銘;
replica ,/n./@複製品;
seismal ,/redirected./@target="seismic";
seminar ,/n./@研討會;,/n./@學術講座;,/n./@研討班;
special ,/adj./@特殊的;
demigod ,/n./@半神半人;,/n./@次神;
mention ,/v./@提及;
environ ,/v./@環繞;,/v./@包圍;
section ,/n./@部分;,/n./@區域;,/n./@章節;
session ,/n./@會議;
tension ,/n./@拉力;,/n./@張力;,/n./@緊張;
venison ,/n./@鹿肉;
version ,/n./@版本;
vertigo ,/n./@眩暈;
Belgium ,/n./@比利時;
celsius ,/n./@攝氏;
premium ,/n./@保險費;,/n./@獎金;,/n./@津贴;
Teochew ,/adj./@潮州人的;,/n./@潮州人;
bedroom ,/n./@臥室;
beloved ,/adj./@敬愛的;,/n./@愛人;
echelon ,/n./@階層;,/n./@梯隊;,/n./@等級;
economy ,/n./@經濟;
deplore ,/v./@譴責;,/v./@哀悼;
develop ,/v./@发展;
freedom ,/n./@自由;
geology ,/n./@地質學;
hegemon ,/n./@霸主;,/n./@霸權國家;
emperor ,/n./@皇帝;
empower ,/v./@授權;,/v./使@能夠;
endorse ,/v./@認可;,/v./@簽署;,/vt./@背書;
enforce ,/v./@強迫;
envelop ,/v./@包圍;,/v./@包裹;,/v./@圍繞;,/n./@信封;
recover ,/v./@恢復;
remorse ,/n./@懊悔;,/n./@悔恨;,/n./@自責;,/n./@後悔;
resolve ,/v./@解決;
restore ,/v./@恢復;
revolve ,/v./@旋轉;
verbose ,/adj./@冗長的;,/adj./@囉嗦的;
welcome ,/n./@歡迎;
explode ,/v./@爆炸;
explore ,/v./@探索;
femoral ,/adj./@股骨的;,/adj./@大腿的;
jeopard ,/v./@危及;
leopard ,/n./@豹子;
epochal ,/adj./@劃時代的;,/adj./@新紀元的;,/adj./@意義重大的;
persona ,/n./@表面形象;,/n./@角色;,/n./@人物;,/n./@表象人格;
deposit ,/v./@存放;,/v./@儲蓄;,/n./@存款;,/n./@押金;,/n./@訂金;,/n./@沉澱;,/v./@沉澱;
despoil ,/v./@掠奪;
exploit ,/v./@利用;,/v./@剝削;,/n./@業績;
decorum ,/n./@端莊;,/n./@禮節;
fervour ,/n./@热忱;
nervous ,/adj./@緊張的;
rebound ,/v./@囘彈;
censure ,/vt./@譴責;,/n./@譴責;
flexure ,/n./@褶皺;,/n./@彎曲;,/n./@彈性;,/n./@柔性;
gesture ,/n./@手勢;
lecture ,/n./@講座;
lettuce ,/n./@生菜;,/n./@萵苣;
perfume ,/n./@香水;
prelude ,/n./@序言;,/n./@序曲;,/n./@前兆;
presume ,/v./@假定;,/v./@推測;,/vt./@假設;
recluse ,/n./@隱士;
request ,/vt./@請求;,/n./@請求;
seclude ,/vt./@隔离;,/vt./@隔绝;,/vt./@孤立;
sequent ,/adj./@連續的;,/adj./@其次的;,/adj./@相繼的;,/n./@後果;,/n./@相繼發生;
texture ,/n./@質地;,/n./@紋理;,/n./@結構;,/n./@本質;
venture ,/n./@冒險;,/n./@風險;,/v./@冒險;,/v./@投機;
exclude ,/v./@排除;,/v./@排斥;
neutral ,/adj./@中性的;
pleural ,/adj./@肋膜的;,/adj./@胸膜的;
regular ,/adj./@有規律的;
secular ,/adj./@世俗的;,/adj./@长期的;,/adj./@现世的;
sensual ,/adj./@肉欲的;,/adj./@感覺的;
rebuild ,/v./@重建;
recruit ,/n./@招聘;
neutron ,/n./@中子;
Sinitic ,/adj./@漢語的;
illicit ,/adj./@違法的;,/adj./@不正當的;,/adj./@违禁的;,/adj./@非法的;
inhibit ,/v./@抑制;,/vt./@約束;,/vt./@阻礙;
Britain ,/n./@不列顛;
diagram ,/n./@圖表;
digital ,/adj./@數字的;
disdain ,/v./@輕視;
inhabit ,/v./@居住;
invalid ,/adj./@無效的;
sciatic ,/adj./@髋部的;,/adj./@坐骨的;,/adj./@坐骨神經的;
similar ,/adj./@相似的;
trivial ,/adj./@瑣碎的;
villain ,/n./@壞人;,/n./@罪犯;,/n./@反派;
virgina ,/n./@陰道;
bizarre ,/adj./@奇異的;,/adj./@離奇的;,/adj./@異乎尋常的;
climate ,/n./@氣候;
dictate ,/v./@口授;,/v./@命令;,/v./@口述;
dialect ,/n./@方言;
disable ,/v./@致殘;,/v./使@失去能力;
finance ,/n./@經濟;
friable ,/adj./@易碎的;
frigate ,/n./@護衛艦;,/n./@巡防艦;
fixated ,/adj./@異常依戀的;,/adj./@固戀的;,/adj./@異常迷戀的;
giraffe ,/n./@長頸鹿;
grimace ,/v./@扮鬼臉;,/n./@鬼臉;
linkage ,/n./@連接;
migrate ,/v./@移居;
minaret ,/n./(of mosque)@宣禮塔;
miracle ,/n./@奇迹;
mistake ,/n./@錯誤;
pillage ,/vt./@劫掠;,/n./@劫掠;
primate ,/n./@靈長目動物;,/n./@靈長類動物;,/n./@大主教;,/adj./@首要的;
private ,/adj./@私人的;
ribcage ,/n./@胸廓;
signage ,/n./@廣告標誌;,/n./@標誌;,/n./@標識;,/n./@標記;
striate ,/v./@加條紋;
sizable ,/adj./@相當大的;,/adj./@相當多的;
vibrate ,/v./@振動;,/vi./@顫動;
village ,/n./@村莊;
vintage ,/v./@采葡萄;,/v./@釀葡萄酒;,/adj./@极佳年份酿造的;,/adj./@经典的;,/adj./@古老的;,/adj./@老式的;
diamond ,/n./@鑽石;
disavow ,/vt./@否認;
Chinese ,/n./@漢語;
iceberg ,/n./@冰山;
chinese ,/n./@漢語;
dislike ,/v./@不喜歡;
diverge ,/vi./@分歧;,/vi./@離題;,/vi./@分叉;,/vi./@偏离;,/vi./@相异;
diverse ,/adj./@多樣的;
fifteen ,/adj./@十五;
hygiene ,/n./@衛生;
license ,/n./@許可;,/n./@執照;
midwife ,/n./@助产士;
immerse ,/vt./@浸沒;,/vt./@浸泡;,/vt./@沉浸;,/vt./@施浸禮於;
missile ,/n./@導彈;
incline ,/v./@贊同;,/v./@傾斜;
inherit ,/v./@繼承;,/v./@遺傳;
insider ,/n./@内部人員;,/n./@知情者;
inspire ,/v./@鼓舞;
integer ,/n./@整數;
interim ,/adj./@臨時的;,/adj./@暫時的;,/adj./@中間的;
intense ,/adj./@強烈的;,/adj./@劇烈的;,/adj./@極度的;
inverse ,/n./@相反;,/n./@顛倒;,/adj./@相反的;,/adj./@倒轉的;,/v./@顛倒;,/v./@倒轉;
science ,/n./@科學;
silence ,/n./@寂靜;
sincere ,/adj./@眞誠的;
sixteen ,/adj./@十六;
visible ,/adj./@可見的;
firearm ,/n./@槍支;
liberal ,/adj./@自由主義的;
illegal ,/adj./@非法的;,/adj./@违法的;
literal ,/adj./@文字的;,/adj./@無誇張的;
mineral ,/n./@礦物;,/adj./@礦物的;
impeach ,/v./@彈劾;,/v.//n./@控告;,/v.//n./@檢舉;,/v.//n./@懷疑;
instead ,/v./@代替;
vinegar ,/n./@醋;
wiretap ,/v./@竊聽;,/n./@竊聽;
inferno ,/n./@地獄;,/n./@陰間;
impetus ,/n./@动力;,/n./@推动力;,/n./@促进;,/n./@推动;,/n./@促進因素;
biology ,/n./@生物學;
billion ,/n./@十億;
diction ,/n./@措辭;
divisor ,/n./@除數;
fiction ,/n./@虛構;,/adj./@虛構的;,/adj./@捏造的;
million ,/n./@百萬;
mission ,/n./@使命;,/n./@任務;
incisor ,/n./@門牙;,/n./@前齒;
silicon ,/n./@矽;
tinfoil ,/n./@錫箔;
visitor ,/n./@來訪者;
bipolar ,/adj./@有兩極的;,/adj./@躁郁的;
diploma ,/n./@畢業文憑;,/n./@學位證書;
immoral ,/adj./@不道德的;,/adj./@堕落的;
pivotal ,/adj./@關鍵的;,/adj./@中樞的;,/adj./@樞軸的;,/adj./@重要的;
disobey ,/v./@違反;,/v./@不服從;
dispose ,/v./@處理;
lissome ,/adj./@柔軟的;,/adj./@敏捷的;
microbe ,/n./@微生物;,/n./@細菌;
implore ,/v./@哀求;,/v./@懇求;
improve ,/v./@改善;
involve ,/v./@卷入;
riposte ,/v./@還擊;,/v./@回擊;,/n./@回擊;
signore ,/n./@夫人;
violent ,/adj./@暴力的;
widower ,/n./@鰥夫;
without ,/prep./@沒有;
biscuit ,/n./@餅干;
circuit ,/n./@逥路;,/n./@巡逥;,/n./@電路;
minimum ,/n./@最小値;
inquiry ,/n./@詢問;,/n./@查詢;,/n./@調查;
insular ,/adj./@孤立的;,/adj./@狹隘的;,/adj./@島嶼的;,/adj./@海島的;,/adj./@與世隔絕的;
piquant ,/adj./@辛辣的;
virtual ,/adj./@實質上的;,/adj./@事實上的;
dispute ,/v./@爭論;
divulge ,/vt./@洩露;,/vt./@暴露;
liquefy ,/vt./@液化;,/vi./@液化;
impulse ,/n./@衝動;,/n./@脈衝;,/n./@推動力;
include ,/v./@包括;
indulge ,/v./@縱容;,/v./@放任;,/v./@放縱;,/vi./@沉迷;,/vi./@沉溺;
inquest ,/n./@驗屍;,/n./@審訊;,/n./@審理;,/n./@調查;,/n./@審查;
intrude ,/v./@侵入;,/v./@打擾;
picture ,/n./@圖片;
rivulet ,/n./@小溪;
tribute ,/n./@頌詞;,/n./@獻禮;,/n./@贡品;,/n./@貢物;
tribune ,/n./@保民官;
pontoon ,/n./@浮舟;,/n./@浮筒;,/n./@浮桥;,/n./@浮船塢;
Kosovan ,/adj./@科索沃的;,/n./@科索沃人;
corpora ,/n./@全集;,/n./@主體;
octagon ,/n./@八边形;,/n./@八角形;
doormat ,/n./@受氣包;
