Inverness ,/n./@印威內斯;,/n./@因弗內斯;
machinery ,/n./@机械;
aimlessly ,/adv./@无目的地;
artillery ,/n./@炮兵部隊;,/n./@炮;,/n./@大炮;,/n./@火砲;
transient ,/adj./@短暫的;,/adj./@暂住的;
Capricorn ,/n./@摩羯座;,/n./@摩羯宮;,/n./@南回歸線;
handiwork ,/n./@手工藝;,/n./@手工製品;,/n./@所作所为;,/n./@行為後果;
matrimony ,/n./@結婚;,/n./@婚禮;,/n./@婚姻;
gymnasium ,/n./@體育館;,/n./@健身房;,/n./@體操學校;
accompany ,/v./@陪伴;
dashboard ,/n./@儀錶盤;
albatross ,/n./@信天翁;,/n./@沉重負擔;
anthology ,/n./@選集;,/n./@集粹;,/n./@精選集;
pathology ,/n./@病理学;,/n./@病理;
scrapbook ,/n./@剪貼簿;
starboard ,/n./@右舷;,/n./@右侧;
adornment ,/n./@裝飾;,/n./@裝飾品;
lawnmower ,/n./@割草機;
absorbing ,/adj./@吸引人的;
algorithm ,/n./@算法;
transonic ,/adj./@接近音速的;
claustrum ,/n./@屏狀體;
sanctuary ,/n./@避難所;,/n./@至聖所;,/n./@神殿;
hamburger ,/n./@汉堡包;
slaughter ,/n./@屠殺;
transmute ,/v./@变化;
absurdity ,/n./@荒谬;,/n./@荒唐;
hydraulic ,/adj./@水力的;,/adj./@液压的;
tracksuit ,/n./@寬鬆衣褲;,/n./@運動服;,/n./@休閒衣褲;
statutory ,/adj./@法定的;,/adj./@规定的;,/adj./@成文的;,/adj./@成文法的;
September ,/n./@九月;
decrement ,/n./@減少;,/n./@減缩;
dependent ,/n./@依赖性的;
deterrent ,/adj./@威慑的;,/n./@威慑;
emergency ,/n./@紧急情况;
precedent ,/adj./@前面的;,/n./@先例;
preferred ,/adj./@优先的;
reprehend ,/v./@指責;,/v./@斥責;,/n./@責備;
repellent ,/adj./@不吸引人的;
represent ,/v./@代表;
excellent ,/adj./@卓越的;,/adj./@极好的;
Wednesday ,/n./@星期三;
breakfast ,/n./@早餐;
checkmate ,/v./@將死;,/n./@挫敗;
defendant ,/n./@被告;
generally ,/adj./@通常的;,/adj./@一般的;
gentleman ,/n./@绅士;
heartfelt ,/adj./@衷心的;
hyperreal ,/adj./@超現實的;
legendary ,/adj./@傳說的;,/adj./@傳奇的;
embarrass ,/v./使@尴尬;
necessary ,/adj./@必要的;
pentagram ,/n./@五角星;
permanent ,/adj./@持久的;,/adj./@永恒的;
prevalent ,/adj./@流行的;,/adj./@盛行的;,/adj./@普遍的;
rectangle ,/n./@矩形;,/n./@长方形;
earnestly ,/adv./@认真地;
sedentary ,/adj./@久坐的;,/adj./@坐慣的;,/adj./@定栖的;,/adj./@靜坐的;
segmental ,/adj./@分節的;,/adj./[Architecture]@弧形的;
semblance ,/n./@外貌;,/n./@假裝;
spectacle ,/n./@場面;
telepathy ,/n./@心靈感應;,/n./@傳心術;
treatment ,/n./@治療;,/n./@待遇;
tesseract ,/n./@四次元立方體;,/n./@超立方體;,/n./@四維立方體;
exemplary ,/adj./@典范的;
expectant ,/adj./@期待的;,/adj./@懷孕的;
yesterday ,/n./@昨天;,/adv./@在昨天;
certainly ,/adv./@当然;
certainty ,/n./@必然;
demanding ,/adj./@要求严苛的;
depravity ,/n./@堕落;
lethargic ,/adj./@瞌睡的;,/adj./@昏昏欲睡的;,/adj./@倦怠的;,/adj./@無精打采的;,/adj./@嗜睡的;
mechanics ,/n./@力学;,/n./@机械学;
mechanism ,/n./@机制;
regarding ,/prep./@关于;
schematic ,/adj./@图解的;,/adj./@概要的;,/adj./@示意的;,/adj./@圖示的;,/adj./@概略的;
establish ,/v./@建立;,/v./@确立;
treadmill ,/n./@踏車;,/n./@跑步機;,/n./@單調的工作;
breakdown ,/n./@故障;,/n./@垮臺;,/n./@崩潰;,/n./@分析;,/n./@分解;,/n./@衰竭;
decathlon ,/n./@十項運動;,/n./@十項全能;
spectator ,/n./@旁观者;,/n./@观众;
Hellenism ,/n./@希臘文化;,/n./@希臘精神;,/n./@希臘風格;
Hellenist ,/n./@希臘文化研究者;,/n./@用希臘語的人;,/n./@接受希臘文化的人;,/n./@希臘語研究者;
beginning ,/n./@開始;,/n./@開端;,/n./@起點;
celebrity ,/n./@名人;
eccentric ,/adj./@古怪的;,/adj./@不正圓的;,/adj./@偏心的;,/adj./@不同圓心的;,/n./@古怪的人;,/n./@偏心圓;,/n./@偏心輪;
declining ,/adj./@下降的;
dexterity ,/n./@灵巧;,/n./@机敏;,/n./@敏捷;
freighter ,/n./@貨輪;,/n./@運輸機;,/n./@承運人;,/n./@發貨人;
embellish ,/vt./@美化;,/vt./@裝飾;,/vt./@潤色;
enlighten ,/v./@启发;,/v./@启蒙;
preceding ,/adj./@在前的;
periphery ,/n./@圓周;,/n./@周圍;,/n./@外围;,/n./@次要位置;,/n./@次要部分;,/n./@體表;,/n./@末梢;
prescribe ,/v./@指定;,/v./@开@药;,/v./@采用;
president ,/n./@总统;
pertinent ,/adj./@適當的;
pessimism ,/n./@悲观;
replenish ,/v./@補充;,/v./@再加滿;
sentiment ,/n./@情緒;,/n./@態度;,/n./@祝願;,/n./@祝辭;
ethnicity ,/n./@種族特點;,/n./@種族背景;,/n./@種族淵源;
ventricle ,/n./@室;,/n./@心室;,/n./@腦室;
exemplify ,/v./@举例;
defiantly ,/adv./@違抗地;,/adv./@對抗地;,/adv./@反抗地;,/adv./@挑戰地;
replicant ,/n./@複製人;
reprimand ,/v./@谴责;,/vt./@訓斥;,/vt./@斥責;
skeptical ,/adj./@懷疑的;,/adj./@懷疑論的;
specially ,/adj./@特别的;
spherical ,/adj./@球形的;,/adj./@球的;,/adj./@球面的;,/adj./@球体的;,/adj./@天體的;,/adj./@圓的;
territory ,/n./@领地;
plentiful ,/adj./@丰富的;,/adj./@充足的;
destroyed ,/adj./@被毁的;
metrology ,/n./@度量衡學;,/n./@計量學;
recollect ,/v./@记起;
recommend ,/v./@推荐;
telephony ,/n./@電話通訊;,/n./@電話學;,/n./@電話製造法;
etymology ,/n./@词源;,/n./@词源学;
excretory ,/adj./@排泄的;,/adj./@分泌的;
extrovert ,/n./@外向;
betrothal ,/n./@訂婚;,/n./@婚約;
democracy ,/n./@民主;,/n./@民主主义;
geography ,/n./@地理學;,/n./@地形;,/n./@地勢;
hyperbola ,/n./@雙曲線;
secondary ,/adj./@次要的;,/adj./@第二的;
theocracy ,/n./@神權政體;
temporary ,/adj./@临时的;
methodism ,/n./@衛理宗教義;,/n./@循道宗教義;
methodist ,/n./@衛理公會教徒;,/n./@循道宗教徒;
frequency ,/n./@频率;
recumbent ,/adj./@斜倚的;,/adj./@休息的;
recurrent ,/adj./@反復出現的;,/adj./@定期重複的;,/adj./@週期性的;,/adj./@一再發生的;
refulgent ,/adj./@輝煌的;,/adj./@燦爛的;
resurrect ,/v./@复活;,/v./@使复活;
resentful ,/adj./@怨恨的;
menstrual ,/adj./@月经的;
redundant ,/adj./@多余的;
reluctant ,/adj./@不願的;,/adj./@勉强的;
resultant ,/adj./@結果的;
refurbish ,/v./@刷新;
precursor ,/n./@前驅;,/n./@前身;,/n./@前兆;,/n./@前體;,/n./@先兆;
pseudonym ,/n./@假名;,/n./@筆名;,/n./@藝名;
intrinsic ,/adj./@本质的;,/adj./@固有的;,/adj./@本身的;
Christian ,/n./@基督徒;
brilliant ,/adj./@聪明的;
dignitary ,/n./@要人;,/n./@顯貴;
diaphragm ,/n./@快門;,/n./@光圈;,/n./@膈膜;,/n./@橫膈膜;
dismissal ,/n./@解雇;
disparity ,/n./@不同;,/n./@懸殊;
immigrant ,/n./@移民;
indignant ,/adj./@愤慨的;
physician ,/n./@内科醫生;
principal ,/n./@校長;,/adj./@主要的;,/adj./@首要的;,/adj./@主角;,/adj./@最重要的;,/n./@本金;
similarly ,/adj./@相似的;
sinistral ,/adj./@左的;,/adj./@用左手的;,/adj./@左旋的;
whimsical ,/adj./@異想天開的;,/adj./@怪誕的;,/adj./@古怪的;
brillance ,/n./@明亮度;
discharge ,/v./@解除;,/v./@釋放;
dismantle ,/v./@拆除;,/v./@解散;,/v./@取消;
firstname ,/n./@名;
hindrance ,/n./@障礙;,/n./@妨礙;,/n./@妨害;
nightmare ,/n./@梦魇;,/n./@噩夢;,/n./@惡夢;
migratory ,/adj./@遷徙的;,/adj./@遷移的;,/adj./@遷居的;,/adj./@洄游的;,/adj./@遊走性的;
different ,/adj./@不同的;
dissident ,/n./@持不同政见者;
dissenter ,/n./@反对者;,/n./@异议者;
divergent ,/adj./@有分歧的;,/adj./@不同的;
diversity ,/n./@多样化;,/n./@多元;
gibberish ,/n./@胡言亂語;
kilderkin ,/n./@基德爾欽;,/n./@小桶;,/n./@十六加侖的量;,/n./@十八加侖的量;,/n./@1/2桶的量;
lifestyle ,/n./@生活方式;
limitless ,/adj./@无限度的;
implement ,/v./实现;,/v./@实施;,/n./@工具;,/n./@手段;
impending ,/adj./@即将到来的;,/adj./@临近的;
immersing ,/adj./@吸引人的;
increment ,/n./@增值;
indemnity ,/n./@保險補償;,/n./@保障;,/n./@保險;,/n./@補償;,/n./@賠償;,/n./@免罰;,/n./@免罪;,/n./@賠款;
intellect ,/n./@智慧;
intercept ,/v./@阻攔;,/v./@攔截;
interject ,/v./@突然插入;,/v./@插嘴;
interpret ,/v./@解释;,/v./@口译;
intersect ,/v./@相交;,/v./@交叉;,/v./@横断;
intensify ,/vt./@加強;,/vt./@增強;,/vt./@強化;
intensity ,/n./@强度;
principle ,/n./@原理;
scientist ,/n./@科学家;
sincerely ,/adj./@真诚地;
dispersal ,/n./@分散;,/n./@传播;,/n./@散布;,/n./@疏散;,/n./@消失;
disregard ,/v./@忽视;,/v./@不尊重;
fisherman ,/n./@漁夫;,/n./@漁民;
literally ,/adj./@确实的;
incessant ,/adj./@持續不斷的;,/adj./@連續的;
whitewash ,/n./@石灰水;,/n./@粉飾;,/v./@粉刷;
directory ,/n./@目錄;,/n./@地址錄;
inventory ,/n./@存货;,/n./@清单;,/n./@存貨清單;
interrupt ,/v./@打断;
dichotomy ,/n./@二分;,/n./@二分法;,/n./@分裂;,/n./@双歧;
symbiosis ,/n./@共生;
biography ,/n./@传记;
billboard ,/n./@广告牌;
clipboard ,/n./@剪切板;
diplomacy ,/n./@外交;
histogram ,/n./@直方图;,/n./@柱形图;
important ,/adj./@重要的;
informant ,/n./@提供消息的人;,/n./@资料提供者;
discopter ,/n./@飛碟;
discovery ,/n./@发现;
dishonest ,/adj./@不诚实的;
incorrect ,/adj./@不正确的;
circuitry ,/n./@电路;,/n./@电路系统;,/n./@电路装置;,/n./@电路元件;
difficult ,/adj./@困难的;
tributary ,/adj./@支流的;,/adj./@納貢的;,/n./@支流;,/n./@附庸國;
triumphal ,/adj./@慶祝勝利的;,/adj./@凱旋的;
virtually ,/adv./@实际上;,/adv./@事实上;
incumbent ,/adj./@現任的;,/n./@在職者;
indulgent ,/adj./@放纵的;,/adj./@宽容的;,/adj./@任性的;
insurgent ,/adj./@叛亂的;,/n./@叛亂者;
cosmology ,/n./@宇宙学;
phonology ,/n./@音系學;,/n./@音系;,/n./@語音體系;
shootdown ,/n./@击落;
broadcast ,/n./@广播;
broadband ,/n./@宽带;
bootstrap ,/n./@引導程序;
consonant ,/n./@辅音;,/n./@辅音字母;
olfactory ,/n./@嗅觉;,/adj./@嗅觉的;,/n./@鼻;
monastery ,/n./@修道院;,/n./@寺院;
workplace ,/n./@工作地;
complaint ,/n./@抱怨;
formality ,/n./@礼节;
hypomanic ,/adj./@輕度躁狂的;
nostalgic ,/adj./@懷舊的;
profanity ,/n./@褻瀆;,/n./@不敬;
womankind ,/n./@女人們;,/n./@女性;
onslaught ,/n./@攻擊;,/n./@襲擊;
bookshelf ,/n./@書架;
component ,/n./@成分;,/n./@组件;,/adj./@组成的;
competent ,/adj./@有能力的;
contented ,/adj./@满足的;
contender ,/n./@竞争者;,/n./@争夺者;
crossover ,/n./@交叉;,/n./@交叉點;,/n./@穿越;
gyroscope ,/n./@迴轉儀;,/n./@陀螺儀;
homefront ,/n./@國土防線;
homegrown ,/adj./@本土的;,/adj./@國產的;,/adj./@自家種植的;
honeycomb ,/n./@蜂巢;
knowledge ,/n./@知识;
processor ,/n./@處理器;
professor ,/n./@教授;
projector ,/n./@投影儀;
proponent ,/n./@倡导者;,/n./@提議人;,/n./@擁護者;
protester ,/n./@抗议者;
prototype ,/n./@原型;,/n./@样本;,/n./@标准;
spongebob ,/n./@海绵宝宝;
tombstone ,/n./@墓碑;
overthrew ,/v./@推翻;
overwhelm ,/v./@征服;
workforce ,/n./@劳动力;
orchestra ,/n./@管弦樂隊;,/n./@交響樂;
overwatch ,/n./@掩護;,/vt./@掩護;,/n./@保護;,/n./@監視;,/n./@照顧;
longevity ,/n./@長壽;
phonetics ,/n./@語音學;
posterity ,/n./@後代;,/n./@後世;,/n./@後裔;
something ,/n./@某些事;,/n./@某事;
oversight ,/n./@监督;,/n./@照管;,/n./@疏忽;
ownership ,/n./@所有权;
consensus ,/n./@一致;,/n./@舆论;,/n./@合意;
wonderful ,/adj./@精彩的;
commodity ,/n./@商品;
dormitory ,/n./@宿舍;
following ,/adj./@下列的;
footprint ,/n./@足迹;,/n./@脚印;,/n./@印记;
hostility ,/n./@敵意;,/n./@敵對;
loincloth ,/n./@腰布;
promising ,/adj./@有希望的;
proximity ,/n./@親近;,/n./@接近;,/n./@鄰近;
obstinacy ,/n./@固執;
compliant ,/adj./@順從的;
commissar ,/n./@政治委员;,/n./@人民委员;
dystopian ,/adj./@反面烏托邦的;
boyfriend ,/n./@男朋友;
clockwise ,/adj./@順時針的;,/adv./@順時針;
commingle ,/v./@充分混合;
condiment ,/n./@调味品;,/n./@调味汁;
confident ,/adj./@自信的;
continent ,/n./@大陸;,/adj./@節制的;
crossfire ,/n./@交叉火力;,/n./@激烈交锋;
forbidden ,/adj./@被禁止的;
frostbite ,/n./@凍傷;,/n./@凍瘡;
hypnotize ,/v./@吸引;
prominent ,/adj./@显要的;,/adj./@重要的;,/adj./@显著的;,/adj./@凸出的;,/adj./@著名的;,/adj./@傑出的;
conundrum ,/n./@难题;,/n./@谜语;,/n./@字谜;
conductor ,/n./@导体;,/n./@指挥;,/n./@售票员;,/n./@列车长;,/n./@向导;
monstrous ,/adj./@可怕的;,/adj./@極惡的;
congruent ,/adj./@一致的;,/adj./@全等的;
occurrent ,/adj./@正在發生的;
scoundrel ,/n./@無賴;,/n./@壞蛋;,/n./@惡棍;,/n./@流氓;
youngster ,/n./@少年;
obscurity ,/n./@晦涩;,/n./@默默无闻;,/n./@難解;,/n./@隱匿;,/n./@卑微;
communism ,/n./@共產主義;
communist ,/n./@共產主義者;
community ,/n./@社会;,/n./@社區;,/n./@社团;,/n./@团体;,/n./@群落;
outskirts ,/n./@市郊;,/n./@边缘;,/n./@郊区;
fundament ,/n./@基礎;,/n./@臀部;,/n./@肛門;
frustrate ,/v./@打击;,/v./使@沮丧;,/v./使@受挫;
uncharted ,/adj./@地圖上未標明的;,/adj./@未经探测的;,/adj./@未知领域的;
unscathed ,/adj./@未受傷的;
quarterly ,/n./@季刊;
substance ,/n./@物质;
scrutable ,/adj./@可以了解的;
surcharge ,/n./@附加費;,/n./@額外費;
pluralism ,/n./@多元化;
thumbnail ,/n./@拇指甲;,/n./@缩略图;,/n./@略图;,/n./@短文;
vulgarity ,/n./@粗俗;,/n./@粗俗语;,/n./@粗野动作;
purgatory ,/n./@炼狱;,/n./@折磨;
judgement ,/n./@判決;,/n./@意見;,/n./@判斷;
pubescent ,/adj./@青春期的;,/adj./@有軟毛的;
succulent ,/adj./@多汁的;
sculpture ,/n./@雕塑;
surrender ,/v./@投降;
structure ,/n./@结构;,/n./@组织;
turbulent ,/adj./@动荡的;
supremacy ,/n./@霸權;,/n./@優勢;
blueprint ,/n./@藍圖;
unnerving ,/adj./@令人氣餒的;
wuthering ,/adj./@呼嘯;
guesswork ,/n./@猜測;,/n./@猜測的結果;
uppermost ,/adj./@至高的;,/adj./@至高地;
successor ,/n./@繼任者;,/n./@繼承人;,/n./@繼承者;
uttermost ,/n./@極度;,/adj./@極端;
hubristic ,/adj./@傲慢的;,/adj./@自大的;,/adj./@自恃的;
unwilling ,/adj./@不願意的;
lubricant ,/n./@潤滑劑;,/adj./@潤滑的;
pupillary ,/adj./@瞳孔的;,/adj./@学生的;,/adj./@被监护人的;
fruitless ,/adj./@徒劳的;
subscribe ,/v./@订阅;,/v./@赞成;,/v./@签署;,/v./@捐助;
cruciform ,/adj./@十字形的;
customary ,/adj./@習慣的;,/adj./@通常的;,/adj./@慣常的;,/adj./@合乎習俗的;
pulmonary ,/adj./@肺的;
sunflower ,/n./@向日葵;
