Balkan ,/adj./@巴爾幹半島的;
herald ,/n./@先驅;,/n./@先兆;,/vt./@宣告;,/n./@傳令官;,/n./@使者;
hearth ,/n./@壁爐;,/n./@爐邊;
legacy ,/n./@遺贈;,/n./@遺產;
lethal ,/adj./@致命的;
embark ,/v./@從事;,/v./@著手;
mental ,/adj./@精神的;
nearby ,/adj./@附近的;
preach ,/v./@佈道;
recall ,/v./@想起;,/v./@回憶;,/v./@找回;,/v./@撤銷;
recast ,/v./@重铸;
redact ,/vt./@編輯;,/vt./@校訂;,/vt./@編寫;,/vt./@刪減;,/vt./@修訂;
regard ,/v./@視爲;
realty ,/n./@房地產;,/n./@不動產;
really ,/adv./@眞的;,/adv./@眞實地;
remark ,/v./@話語;
errand ,/n./@使命;,/n./差事;,/n./@差使;,/n./@任務;
errant ,/adj./@不定的;
retard ,/v./@延遲;,/v./@減緩;
reward ,/v./@獎勵;
schema ,/n./@模式;,/n./@计划;,/n./@图解;,/n./@概要;
scream ,/v./@尖叫;
sheath ,/n./@鞘;,/n./@护套;
spread ,/v./@傳播;
search ,/v./@搜索;,/v./@尋找;,/v./@搜查;,/n./@寻找;,/n./@搜索;,/n./@搜查;
seraph ,/n./@熾天使;,/n./@六翼天使;,/n./@撒拉弗;
serval ,/n./@藪貓;
steady ,/adj./@平穩的;,/adj./@穩健的;
streak ,/n./@條紋;,/v./@飛跑;,/n./@光線;,/n./@礦脈;
stream ,/n./@水流;
threat ,/n./@恐嚇;
thread ,/n./@綫;,/v./@穿過;
tenant ,/n./@承租人;,/n./@房客;,/n./@居住者;,/n./@租户;
terran ,/n./@人族;,/n./@地球人;
treaty ,/n./@條約;
verbal ,/adj./@(用)言辭的;
expand ,/v./@擴大;
extant ,/adj./@現存的;,/adj./@顯著地;
behind ,/v./@后于;
benign ,/adj./@和善的;,/adj./@有益的;,/adj./@良性的;,/adj./@宜人的;
credit ,/n./@信用;,/v./@歸功于;,/v./@相信;
debris ,/n./@殘骸;,/n./@碎片;
depict ,/v./@描述;,/v./@描畫;
design ,/v./@設計;
effigy ,/n./@肖像;,/n./@雕像;,/n./@模擬像;
fervid ,/adj./@热情的;,/adj./@热烈的;,/adj./@强烈的;,/adj./@激情的;
feisty ,/adj./@煩躁不安的;,/adj./@爭強好勝的;,/adj./@活躍的;,/adj./@好斗的;,/adj./@易怒的;
fetish ,/n./@迷戀;,/n./@戀物;,/n./@迷戀之物;,/n./@神物;
hectic ,/adj./@忙乱的;
height ,/n./@髙;,/n./@髙度;
hermit ,/n./@隱士;
lentil ,/n./@小扁豆;
meninx ,/n./@腦膜;
enrich ,/v./@充實;
ensign ,/n./@旗;,/n./@舰旗;,/n./@军旗;
entity ,/n./@實體;
peking ,/n./@北京;
pelvis ,/n./@骨盆;
pencil ,/n./@鉛筆;
prefix ,/n./@前綴;,/v./@加前綴;
permit ,/v./@允許;
perish ,/v./@死亡;,/v./@毀滅;
relish ,/n./@滋味;,/n./@風味;,/n./@品味;,/n./@食慾;
remind ,/v./@回憶;,/v./@提醒;
resign ,/v./@辭職;
resist ,/v./@拒絕;
rewind ,/v./@重繞;,/v./@倒回;
sleigh ,/n./@雪橇;
ethnic ,/adj./@種族的;,/adj./@人種的;
theirs ,/pron./@他們的;
thesis ,/n./@論文;
tennis ,/n./@網球;
verify ,/v./@核實;,/v./@證實;
behold ,/v./@看;,/v./@註視;,/v./@瞧;
belong ,/v./@屬于;
bellow ,/v./@吼叫;
bestow ,/v./@給予;,/v./@授予;
beyond ,/v./@超過;
censor ,/v./@審查;,/v./@檢查;
deform ,/v./@弄變形；@弄殘;
deploy ,/v./@解雇;
felony ,/n./@重罪;
fellow ,/n./@家夥;
fresco ,/n./@壁畫;
fervor ,/n./@狂熱;
ghetto ,/n./@贫民区;,/n./@貧民窟;,/n./@少数族裔聚居区;,/n./@犹太人居住区;
lesson ,/n./@課程;,/n./@教訓;
embryo ,/n./@胚胎;,/n./@胚芽;,/n./@萌芽;,/n./@初期;,/n./@胚胎階段;,/n./@萌芽階段;
melody ,/n./@旋律;
mellow ,/adj./@圓潤的;,/adj./@柔和的;,/adj./@成熟的;,/adj./@甘美的;,/adj./@芳醇的;
employ ,/v./@雇用;
memory ,/n./@記憶;,/n./@記憶力;,/n./@紀念;,/n./@存儲;
method ,/n./@方法;
enroll ,/v./@登記;
person ,/n./@人;
petrol ,/n./@汽油;
record ,/n.//v./@記錄;,/v./@録制;
reflow ,/v./@流回;,/v./@再漲;
reform ,/v./@改革;
report ,/v./@報告;,/v./@报导;
resort ,/v./@求助;,/n./@名勝;,/vi./@憑藉;
revolt ,/n./@起義;,/v./@反抗;
second ,/adj./@第二的;
escort ,/v./@護送;,/v./@陪同;,/n./@護航艦;
seldom ,/adv./@不常;,/adv./@難得;
sermon ,/n./@布道;,/n./@说教;
theory ,/n./@理論;
tendon ,/n./@腱;
terror ,/n./@恐怖;
tremor ,/n./@震動;
treson ,/n./@叛國罪;,/n./@背叛;
vector ,/n./@矢量;,/n./@航线;
vendor ,/n./@卖主;,/n./@小贩;,/n./@卖方;
extort ,/vt./@敲诈;,/vt./@榨取;
yellow ,/n./@黃色;,/adj./@黃色的;
census ,/n./@普查;,/n./@統計;
debunk ,/vt./@揭穿;,/vt./@驳斥;,/vt./@拆穿;
deduct ,/v./@減去;
deputy ,/n./@副手;,/n./@代理;
gerund ,/n./@動名詞;
lyceum ,/n./@演講廳;,/n./@音樂廳;,/n./@會堂;
engulf ,/vt./@吞没;,/vt./@淹没;,/vt./@吞噬;
rectum ,/n./@直腸;
refund ,/n./@退款;,/n./@退還;,/n./@償還;
result ,/n./@結果;,/n./@後果;,/n./@效果;
return ,/v./@返回;,/v./@歸還;
sleuth ,/n./@大獵犬;,/n./@大警犬;,/n./@偵探;
estrus ,/redirected./@target="oestrus";
versus ,/prep./@對;,/prep./@對抗;
Sicily ,/n./@西西里島;
chilli ,/redirected./@target="chili";
clinic ,/n./@診所;
crisis ,/n./@危機;
finish ,/v./@完成;
frigid ,/adj./@寒冷的;,/adj./@嚴寒的;,/adj./@冷淡的;,/adj./@性冷淡的;
firkin ,/n./@費金桶;,/n./@九加侖的量;,/n./@小木桶;,/n./@1/2基德爾欽的量;
lining ,/n./@夾裡;,/n./@襯裡;
indict ,/v./@起訴;,/v./@控告;,/v./@告發;
infill ,/v./@填實;,/v./@填入;
insist ,/v./@堅持;
instil ,/vt./@滴注;,/vt./@逐漸灌輸;
spirit ,/n./@精神;
timing ,/n./@計時;,/n./@定時;,/n./@測時;,/n./@校時;
victim ,/n./@受害者;
vilify ,/v./@誹謗;,/v./@辱駡;,/vt./@诋毁;
virgin ,/n./@處女;
within ,/prep./@在@...中;
Friday ,/n./@星期五;
binary ,/adj./@二進制的;,/adj./@二元的;
climax ,/n./@高潮;,/n./@頂點;
dismal ,/adj./@淒涼的;,/adj./@憂郁的;,/adj./@失落的;
dismay ,/v./@沮喪;
fiscal ,/adj./@财政的;
hijack ,/n.//v./@搶劫;,/n.//v./@劫持;,/v.//n./@威逼;,/v.//n./@敲詐;
jigsaw ,/n./@線鋸;
kidnap ,/v./@綁架;,/v./@拐騙;
lizard ,/n./@蜥蜴;
impact ,/v./@影響;
impart ,/vt./@賦予;,/vt./@給予;,/vt./@傳授;,/vt./@傳達;,/vt./@透露;
mishap ,/n./@厄運;
infamy ,/n./@惡名;,/n./@臭名;,/n./@醜惡;
infant ,/n./@嬰兒;
intact ,/adj./@完整的;
pillar ,/n./@支柱;,/n./@柱子;
piracy ,/n./@盜版;,/n./@盜取;
primal ,/adj./@原始的;
ribald ,/adj./@下流的;,/adj./@粗俗的;,/adj./@猥褻的;
signal ,/n./@信號;
island ,/n./@島嶼;
spinal ,/adj./@脊椎的;,/adj./@脊髓的;,/adj./@脊柱的;,/adj./@脊骨的;,/adj./@尖刺的;
stigma ,/n./@恥辱;,/n./@污名;,/n./@污點;,/n./@柱頭;,/n./@眼點;
tribal ,/adj./@部落的;
wizard ,/n./@巫師;
biceps ,/n.//pl./@二头肌;
billet ,/n./@便條;,/n./@短簡;
bridge ,/n./@橋;
bridle ,/n./@韁繩;,/v./@約束;,/v./@抑制;,/v./@控制;
bitter ,/adj./@苦的;
chisel ,/v./@雕刻;
cliche ,/n./@陈词滥调;,/adj./@陈腐的;,/n./@铅版;
client ,/n./@客戶;,/n./@用户;,/n./@顧客;
cipher ,/n./@密碼;,/v./@計算;
circle ,/n./@圓;,/n./@果;,/v./@畫圈;
cringe ,/v./@畏縮;,/v./@奉承;,/v./@阿諛;
crises ,/n./@危機;
differ ,/v./@不同;
digest ,/v./@消化;,/v./@吸收;,/n./@文摘;
dinner ,/n./@晚餐;
direct ,/adj./@直接的;,/v./@指挥;,/v./@支配;
driver ,/n./@司機;
dispel ,/vt./@驅散;,/vt./@驅逐;,/vt./@消除;
divert ,/vt./@轉向;,/vt./@轉移;,/vt./@娛樂;
fiddle ,/n./@提琴;
filter ,/n./@濾器;,/n./@濾鏡;,/v./@過濾;
fridge ,/n./@冰箱;
friend ,/n./@朋友;
fringe ,/n./@邊緣;,/adj./@非主流的;,/n./@流苏;
fizzle ,/n./@失敗;,/v./@萎靡;
giggle ,/v./@咯咯笑;,/n./@咯咯笑;
glider ,/n./@滑翔機;
ginger ,/n./@薑;
girdle ,/n./@腰帶;,/n./@環形物;,/n./@緊身褡;,/vt./@環繞;,/vt./@捆紮;
higher ,/adj./@更高的;
