April ,/n./@四月;
delay ,/v./@拖延;,/v./@推遲;
dread ,/n./@恐懼;,/n./@懼怕;
dream ,/n.//v./@夢;
death ,/n./@死亡;
freak ,/n./@怪人;,/adj./@奇怪的;
feral ,/adj./@野生的;,/adj./@野性的;,/adj./@野獸的;
feast ,/n./@盛宴;
gleam ,/n./@微光;,/n./@閃光;,/v./@閃耀;
glean ,/v./@收集;,/vt./@搜集;
great ,/adj./@偉大的;,/adj./@極好的;
heady ,/adj./@興奮的;,/adj./@任性的;
hepta ,/pref./@七;
heart ,/n./@心;
heavy ,/adj./@重的;,/adj./@嚴重的;,/adv./@劇烈地;
hyena ,/n./@鬣狗;
legal ,/adj./@合法的;
learn ,/v./@學習;
leash ,/n./@皮帶;,/v./@束縛;
least ,/n./@至少;
means ,/n./@方法;,/n./@手段;,/v./@意味著;
meant ,/v./@有意;
metal ,/n./@金屬;,/adj./@金屬制的;
peach ,/n./@桃子;
plead ,/v./@請求;,/v./@乞求;
pleat ,/v./@打褶;
penta ,/pref./@五;
pearl ,/n./@珍珠;
petal ,/n./@花瓣;
rebar ,/n./@鋼筋;
reach ,/v./@到達;
react ,/v./@反應;
ready ,/adj./@准備好@的;
regal ,/adj./@帝王的;,/adj./@王室的;,/adj./@莊嚴的;,/adj./@豪華的;
rehab ,/n./@康复;,/vt./@修复;
realm ,/n./@領域;,/n./@王國;,/n./@領土;,/n./@範圍;,/n./@疆域;,/n./@疆界;,/n./@國土;
relax ,/v./@放松;
early ,/adj./@早的;,/adj./@提前的;
relay ,/v./@转播;,/v./@中继;,/v./@傳達;,/v./@轉達;,/n./@輪換者;,/n./@接力賽;,/n./@中繼轉播;,/n./@繼電器;
repay ,/vt./@歸還;
earth ,/n./@地球;
sedan ,/n./@轎子;,/n./@小轎車;
shear ,/v./@剪;,/v./@切割;
smear ,/v./@誹謗;,/vt./@塗抹;,/vt./@弄髒;,/n./@汙跡;,/n./@誹謗;
sneak ,/v./@溜;,/v./@鬼鬼祟祟地做;
speak ,/v./@說;,/v./@講;
spear ,/n./@矛;,/n./@槍;,/vt./@用矛刺;
stead ,/n./@代替;,/n./@用處;
steal ,/v./@偷;
steam ,/n./@蒸汽;,/v./@蒸;
swear ,/v./@发誓;,/v./@咒罵;
sweat ,/n./@汗;,/v./@出汗;
essay ,/n./@散文;,/n./@論文;,/n./@小品文;
teach ,/v./@教;
terra ,/n./@大地;
treat ,/vt./@對待;,/v./@醫治;
tread ,/v./@踏;,/v./@踩;,/n./@胎面;,/n./@鞋底;,/n./@踏;
vegan ,/n./@素食主義者;
versa ,/adj./@反的;
wheat ,/n./@小麥;
wreak ,/v./@發洩;,/v./@報仇;
weary ,/adj./@疲倦的;
exact ,/adj./@精確的;
exalt ,/v./@提升;,/v./@贊揚;
extra ,/adj./@額外的;
yearn ,/v./@渴望;,/v./@向往;,/v./@思念;
zebra ,/n./@斑馬;
begin ,/v./@開始;
being ,/v./@被;,/v./@正在;
edict ,/n./@詔書;
edify ,/vt./@教化;
deign ,/vi./@屈尊;,/vi./@賜予;
deity ,/n./@神;,/n./@女神;,/n./@神性;,/n./@神的地位;,/n./@神的身分;
devil ,/n./@魔鬼;
feign ,/vt./@假裝;,/vt./@裝作;
eight ,/n./@八;
geist ,/n./@精神;
legit ,/adj./@合法的;,/adj./@正統的;
medic ,/n./@衛生員;,/n./@軍醫;,/n./@醫生;,/n./@醫學生;,/n./@醫科學生;
merit ,/n./@優點;,/n./@功績;
penis ,/n./@陰莖;
peril ,/n./@危險;
reign ,/v./@統治;,/v./@支配;
relic ,/n./@遺產;,/n./@遗迹;,/n./@遗物;,/n./@遗俗;,/n./@文物;,/n./@古董;
ethic ,/adj./@道德的;,/adj./@倫理的;
their ,/adj./@他們的;
evict ,/vt./@驅逐;,/vt./@逐出;
weird ,/adj./@奇怪的;
xenic ,/adj./@異類的;,/adj./@氙的;
exist ,/v./@存在;
Negro ,/n./@黑人;
below ,/prep./在...之@下;
decor ,/n./@裝飾;,/n./@佈置;
decoy ,/v./@誘騙;,/n./@誘餌;
demon ,/n./@恶魔;,/n./@魔鬼;,/n./@邪念;
depot ,/n./@倉庫;,/n./@停車場;,/n./@航空站;,/v./@儲藏;
detox ,/n.//redirected./@target="detoxification";,/v.//redirected./@target="detoxify";
hello ,/int.//n./@你好;
elbow ,/n./@肘;
melon ,/n./@瓜;,/n./@甜瓜;
meson ,/n./@介子;
metro ,/n./@地鐵;,/adj./@大城市的;
endow ,/vt./@捐贈;,/vt./@賦予;,/vt./@資助;
enjoy ,/v./@享受;,/v./@(使)愉快;
enrol ,/v./@登記;
epoch ,/n./@紀元;,/n./@時代;
error ,/n./@錯誤;
retro ,/n./@制動;,/n./@減速;,/n./@反向;
ethos ,/n./@精神特質;,/n./@價值理念;,/n./@性格氣質;,/n./@價值觀;,/n./@道德思想;,/n./@道德觀;,/n./@信條;
tempo ,/n./@速度;,/n./@節拍;
tenor ,/n./@要旨;,/n./@趨向;,/n./@男高音;,/n./@次中音;,/n./@基调;
venom ,/n./@毒液;,/n./@惡意;
xenon ,/n./@氙;
debug ,/v./@調試;
debut ,/n./@初次登臺;,/n./@首次亮相;
fetus ,/n./@胎兒;,/n./@胎;
genus ,/n./@屬;,/n./@種類;
pseud ,/adj./@假的;,/adj./@不誠實的;
rebut ,/v./@反駁;,/v./@駁囘;,/v./@揭露;,/n./@反駁;
recur ,/v./@再發生;,/v./@復發;
chili ,/n./@辣椒;,/n./@紅辣椒;
limit ,/n./@限制;,/v./@限制;
mimic ,/v./@模仿;,/adj./@模仿的;
infix ,/n./@中綴;
rigid ,/adj./@嚴格的;,/adj./@死板的;,/adj./@堅硬的;,/adj./@嚴密的;
sigil ,/n./@印章;,/n./@魔符;
timid ,/adj./@膽怯的;,/adj./@靦腆的;,/adj./@害羞的;
vivid ,/adj./@生動的;
China ,/n./@中國;
Libra ,/n./@天秤座;,/n./@天秤宮;
cigar ,/n./@雪茄;
china ,/n./@陶瓷;
diary ,/n./@日記;
divan ,/n./@沙發牀;,/n./@厚墊睡榻;
final ,/adj./@最終的;
giant ,/adj./@巨大的;,/n./@巨人;
hijab ,/n./@希賈布;,/n./@哈吉布;
libra ,/n./羅馬@磅;,/n./@里拉;
lilac ,/n./@丁香;,/adj./@淡紫色的;
lidar ,/n./@激光雷達;
micra ,/redirected./@target="micron";
infra ,/adj.//pref./@在下;
rival ,/n./@競爭;,/n./@對手;
triad ,/n./@三件套;,/n./@三人組;,/n./@三合一;
trial ,/n./@試驗;,/n./@嘗試;
villa ,/n./@別墅;
vital ,/adj./@重要的;,/adj./@必不可少的;,/adj./@必要的;,/adj./@决定性的;,/adj./@至关重要的;,/adj./@生气勃勃的;,/adj./@充满生机的;
bible ,/n./@聖經;
binge ,/n./@狂歡;,/v./@狂歡;
biped ,/n./@兩足動物;
bride ,/n./@新娘;
brief ,/adj./@簡短的;,/n./@簡報;,/n./@摘要;
cider ,/n./@蘋果酒;,/n./@蘋果汁;
chief ,/adj./@首領;,/adj./@主要的;
chime ,/v./@鳴響;,/n./@鐘聲;,/n./@和諧;
chive ,/n./@香蔥;
crime ,/n./@罪;
dirge ,/n./@挽歌;
drive ,/v./@駕駛;,/v./@驅動;,/n./@驱动器;,/vt./@操作;,/vi./@开车;,/n./@驱赶;,/vt./@驱赶;,/vt./@迫使;,/n./@车道;,/n./@路;,/n./@抽球;,/n./@活动;,/n./@运动;,/n./@欲望;,/n./@比赛;
fibre ,/n./@纖維;
field ,/n./@場;,/n./@領域;,/n./@田野;,/n./@戰場;
fiend ,/n./@魔鬼;
fiery ,/adj./@燃烧着的;
glide ,/v./@滑行;
grief ,/n./@悲哀;
grime ,/n./@汙垢;,/n./@汙點;,/n./@汙穢;,/n./@塵垢;
gripe ,/n./@腹痛;,/n./@腸絞痛;,/n./@不滿;,/n./@牢騷;,/n./@抱怨;,/vi./@腹痛;,/vi./@腸絞痛;,/vt./@握緊;,/vt./@抓牢;,/vi./@訴苦;,/vi./@抱怨;,/vi./@發牢騷;
knife ,/n./@刀;
libel ,/n./@誹謗;,/n./@誹謗罪;,/n./@誹謗性文字;,/vt./@誹謗;
liken ,/v./@比拟;,/v./@比作;
linen ,/n./@亞麻;,/adj./@亞麻的;
liner ,/n./@班輪;,/n./@班機;,/n./@襯裡;,/n./@襯墊;
litre ,/n./@升;
liver ,/n./@肝脏;
mince ,/v./@切碎;,/vt./@剁碎;,/n./@碎末;,/n./@碎塊;
miser ,/n./@守財奴;,/n./@吝嗇鬼;
niche ,/n./@壁龕;,/n./@合適的職業;,/n./@專營市場;,/n./@生態龕;,/n./@生態位;,/n./@適宜的小環境;,/n./@利基;
index ,/n./@索引;,/n./@指標;,/n./@指針;
infer ,/v./@推論;,/vt./@推斷;,/vt./@意味著;
inlet ,/n./@入口;,/n./@進口;,/n./@水灣;,/v./@引入;,/v./@嵌入;,/v./@插入;
inner ,/adj./@內部的;
inert ,/adj./@惰性的;,/adj./@遲緩的;,/adj./@呆滯的;,/adj./@無效的;
inter ,/pref./@相互;
piker ,/n./@膽小鬼;
pride ,/n./@驕傲;
prime ,/adj./@首要的;,/adj./@第一的;
piety ,/n./@虔誠;,/n./@孝敬;
pixel ,/n./@像素;
ridge ,/n./@山脈;,/n./@山脊;,/n./@屋脊;
rifle ,/n./@步槍;,/n./@來復槍;
rinse ,/v./@漂洗;,/v./@沖洗;,/vt./@漱;,/n./@沖洗;,/n./@漂洗;,/n./@漱口液;,/n./@染髮;,/n./@染髮劑;
river ,/n./@河流;
rivet ,/n./@鉚釘;,/vt./@鉚;,/vt./@鉚接;,/vt./@固定;
shine ,/v./@閃耀;
slice ,/n./@薄片;,/v./@切下;
slide ,/v./@滑動;,/n./@幻燈片;
smile ,/v./@微笑;,/n./@微笑;
smite ,/v./@打擊;,/v./@重擊;,/v./@毀滅;
since ,/prep./@自從;,/conj./@因爲;
spike ,/n./@長釘;,/v./@刺穿;,/v./@釘;,/v./@阻止;
spine ,/n./@脊柱;
spire ,/n./@尖頂;
spite ,/n./@惡意;
siren ,/n./@警笛;,/n./@汽笛;,/n./@迷人的女人;,/adj./@迷人的;,/v./@引誘;
swine ,/n./@豬;
swipe ,/v./@猛擊;,/vi./@挥击;
tithe ,/n./@什一稅;
thief ,/n./@賊;
thine ,/adj./@你的;
title ,/n./@標題;,/n./@頭銜;,/n./@冠軍;
times ,/n./@次數;
trite ,/adj./@平庸的;,/adj./@陳腐的;,/adj./@老套的;,/adj./@老生常談的;
tired ,/adj./@疲憊的;,/adj./@厭倦的;
twice ,/adv./@兩次;
vibes ,/redirected./@target="vibe";
viper ,/n./@毒蛇;
widen ,/v./@加寬;,/v./@擴大;
while ,/conj./@當@...時;
whine ,/v./@发牢騷;,/v./@抱怨;
white ,/n./@白色;,/adj./@白色的;
wield ,/v./@使用;,/v./@行使;,/v./@揮舞;
wince ,/v./@畏縮;
write ,/v./@寫;
yield ,/vt./@屈服;,/v./@出產;,/v./@放棄;,/n./@產量;,/n./@收益;
bigot ,/n./@偏執者;,/n./@頑固者;,/n./@固執者;
disco ,/n./@迪斯科;
ditto ,/n./@同上;,/adj./@同上的;
limbo ,/n./@地獄的邊境;
lingo ,/n./@行話;
minor ,/adj./@较小的;,/adj./@次要的;,/adj./@轻微的;,/adj./@小调的;,/vi./@辅修;,/n./@辅修科目;
intro ,/abbr./<introduction>@介紹;
pilot ,/n./@飛行員;
prior ,/adv./@優先的;,/adv./@在前;,/n./@修道院院長;,/n./@大修道院副院長;
pivot ,/n./@樞軸;,/n./@中心點;,/adj./@樞軸的;
rigor ,/n./@嚴肅;,/n./@严密;
vigor ,/n./@精力;,/n./@活力;,/n./@氣勢;,/n./@魄力;,/n./@元氣;,/n./@強健;,/n./@茁壯;
ivory ,/n./@象牙;,/adj./@象牙色的;,/n./@象牙色;
widow ,/n./@寡婦;
minus ,/v./@減;,/n./@符號;,/adj./@負的;
incur ,/v./@遭受;
input ,/v./@輸入;
virus ,/n./@病毒;
Logos ,/n./神的@話;,/n./神的@道;
Tokyo ,/n./@東京;
blood ,/n./@血;
bloom ,/v./@綻放;
brood ,/n./@窩;,/v./@孵;,/v./@沉思;
broom ,/n./@掃帚;
bosom ,/n./@胸;
