Harry ,/n./@哈利;
stray ,/adj./@迷路的;,/adj./@流浪的;,/adj./@零星的;,/n./@迷路者;,/n./@流浪者;,/n./@走失的家畜;,/vi./@迷路;,/vi./@走失;,/vi./@走散;,/vi./@閒逛;,/vi./@流浪;,/vi./@離題;,/vi./@偏離;,/vi./@誤入歧途;
savvy ,/n./@常识;,/n./@悟性;,/adj./@精明的;,/vt./@懂;,/vt./@知曉;
swarm ,/v./@擠滿;,/n./@羣;,/n./@大群;
thank ,/v./@感謝;
tharm ,/n./@腸子;
tract ,/n./@道;,/n./@冊子;
track ,/n./@軌道;,/n./@路徑;,/n./@铁轨;,/n./@跑道;,/n./@车辙;,/n./@足迹;,/n./@行踪;,/n./@履带;
tardy ,/adj./@緩慢的;,/adj./@遲緩的;
trash ,/n./@垃圾;
trawl ,/v./@拖網;,/v./@拖網捕魚;
whack ,/v./@重擊;
wharf ,/n./@碼頭;,/n./@停泊處;
wrath ,/n./@憤怒;
watch ,/v./@觀看;,/v./@觀察;,/n./@手表;
yacht ,/n./@快艇;,/n./@遊船;
Welsh ,/adj./@威爾斯的;,/adj./@威爾斯人的;,/adj./@威爾斯語的;,/n./@威爾斯人;,/n./@威爾斯語;
blend ,/v./@混合;
bless ,/v./@保佑;
belly ,/n./@腹部;,/n./@胃;
berth ,/v./@停泊;,/n./@泊位;
check ,/v./@檢查;
chess ,/n./@象棋;
chest ,/n./@胸膛;,/n./@櫃子;
cleft ,/n./@裂縫;,/adj./@分裂的;
clerk ,/n./@職員;,/n./@店員;,/n./@辦事員;
cress ,/n./@水芹;
crest ,/n./@顶峰;,/n./@波峰;,/n./@羽飾;,/n./@紋飾;,/n./@肉冠;,/n./@羽冠;
cyber ,/adj./@網絡的;
depth ,/n./@深度;
dress ,/v./@穿著;,/n./@連衣裙;
dwell ,/v./@居住;
dwelt ,/v./@居住@<dwell的過去式>;
flesh ,/n./@鮮肉;
fresh ,/adj./@新鮮的;
ferry ,/n./@渡口;,/n./@渡船;,/v./@渡運;
fetch ,/v./@拿來;,/v./@取來;
hefty ,/adj./@重的;,/adj./@健壮的;,/adj./@有力的;
hyper ,/redirected./@target="hyperactive";
empty ,/adj./@空的;,/adj./@空白的;
mercy ,/n./@仁慈;
entry ,/n./@進入;,/n./@入口;,/n./@记录;,/n./@項目;,/n./@詞條;,/n./@帳目;
penny ,/n./@便士;
press ,/v./@壓;,/v./@催促;,/v./@逼迫;,/n./@出版社;
rhyme ,/n./@韻;,/n./@韻腳;,/n./@押韻;,/v./@押韻;
reply ,/v./@囘應;
retch ,/v./@作嘔;
scend ,/v./@船上升;,/n./@波浪的推動力;
scent ,/n./@氣味;
sheft ,/n./@軸;
shell ,/n./@殻;
shelf ,/n./@架子;,/n./@櫥子;
shred ,/v./@切碎;
smell ,/v./@嗅;
smelt ,/v./@熔煉;
speck ,/n./@斑點;,/n./@汙點;,/n./@瑕疵;,/n./@鏽斑;
spect ,/v./@看;
spend ,/v./@消耗;,/v./@花費;
sperm ,/n./@精子;,/n./@精液;
stern ,/n./@船尾;,/adj./@嚴厲的;,/adj./@堅決的;
style ,/n./@風格;,/n./@類型;
swell ,/v./@增強;,/v./@擴大;,/v./@腫脹;
theft ,/n./@盜竊;
threw ,/v./@扔@<throw>;
thyme ,/n./@百里香;
tempt ,/v./@誘惑;
trend ,/n./@趨勢;,/n./@趨向;,/n./@傾向;,/n./@走向;,/vi./@趨向;,/vi./@傾向;
twerp ,/n./@蠢人;
whelm ,/v./@淹沒;,/v./@覆蓋;,/v./@壓倒;
wreck ,/v./@破壞;,/n./@失事;,/n./@殘骸;,/n./@沉船;,/n./@废人;,/vt./@毀壞;,/vt./@毁掉;
Fritz ,/n./@德國人;
Swiss ,/adj./@瑞士的;
blimp ,/n./@頑固分子;,/n./@小飛艇;
blind ,/adj./@盲的;
blink ,/v./@閃耀;,/v./@眨眼;
bliss ,/n./@福氣;,/n./@極樂;,/n./@狂喜;
bring ,/v./@帶來;
brink ,/n./@邊緣;
brisk ,/adj./@敏捷的;,/adj./@活躍的;,/adj./@凜冽的;
bitch ,/n./@婊子;
chick ,/n./@小鷄;
chill ,/v./@變冷;,/v./@冷卻;
child ,/n./@孩子;
chimp ,/n./@黑猩猩;
chirp ,/n./@吱喳聲;
cliff ,/n./@懸崖;
click ,/n.v./@點擊;
climb ,/v./@爬;,/v./@攀;
cling ,/v./@堅持;,/v./@粘住;,/v./@依附;
cinch ,/v./@緊握;
crimp ,/n./@捲曲;,/n./@褶皺;
crisp ,/adj./@鬆脆的;
cynic ,/n./@忿世嫉俗者;
dingy ,/adj./@骯髒的;,/adj./@昏暗的;
drift ,/v./@漂流;,/v./@漂移;,/v./@漂泊;
drill ,/v./@鑽;,/n./@訓練;,/n./@鑽;,/n./@鑽頭;,/vt./@訓練;
drink ,/v./@喝;,/v./@飲;
dirty ,/adj./@脏的;
ditch ,/n./@溝渠;
dizzy ,/adj./@眩暈的;,/adj./@昏亂的;,/adj./@愚蠢的;,/adj./@困惑的;
fight ,/v./@爭斗;,/v./@戰斗;
flick ,/v./@輕彈;,/vt./@輕拂;,/vt./@輕打;
fling ,/v./@扔;,/v./@抛;,/vt./@擲;,/vt./@猛推;,/vi./@猛衝;
flint ,/n./@燧石;,/n./@打火石;
flirt ,/v./@调情;,/v./@挑逗;,/v./@戏弄;
frisk ,/vi./@蹦跳;
first ,/adj./@第一的;
firth ,/n./@峽灣;
fishy ,/adj./@魚的;,/adj./@似魚的;,/adj./@可疑的;
glint ,/v./@閃耀;
grill ,/v./@燒;,/v./@烤;,/v./@拷問;,/n./@烤架;,/n./@烤肉;
grind ,/v./@碾碎;,/v./@磨碎;,/n./@苦差;,/n./@研磨;,/vt./@压迫;
hight ,/v./@取名;
kinky ,/adj./@古怪的;,/adj./@怪癖的;,/adj./@奇怪的;
light ,/n./@光;,/adj./@輕的;
links ,/v./@鏈接;
lyric ,/n./@歌詞;,/n./@抒情詩;
midst ,/n./@中間;
might ,/aux./@可能;,/n./@勢力;,/n./@威力;
imply ,/v./@暗示;,/v./@意味;
mirth ,/n./@歡笑;,/n./@歡樂;
misty ,/adj./@模糊的;,/adj./@有霧的;
night ,/n./@晚上;
picky ,/adj./@挑剔的;
pinch ,/v./@捏;,/v./@掐;,/v./@擠;,/n./@捏;,/n./@撮;,/n./@少量;
prick ,/v./@刺;,/v./@竪起;,/n./@陰莖;
pricy ,/redirected./@target="pricey";
print ,/v./@打印;
prism ,/n./@棱鏡;,/n./@棱柱;
pitch ,/vt./@投擲;,/n./@強度;,/n./@音高;,/n./@场地;,/vt./@投;,/vt./@擲;,/n./@投球;,/n./@傾斜度;,/n./@顛簸;,/vt./@搭@(帳篷);,/vt./@紮@(營);
right ,/adj./@對的;,/adj./@右邊的;
risky ,/adj./@冒險的;,/adj./@有風險的;,/adj./@危險的;,/adj./@大膽的;,/adj./@有傷風化的;
sight ,/n./@情景;,/n./@視力;
shift ,/v./@移動;,/v./@轉換;,/v./@變化;,/n./@轮班;
skill ,/n./@技巧;
skirt ,/n./@裙子;
slick ,/adj./@光滑的;,/n./@平滑器;,/v./(使)@光滑;
slink ,/v./@潛逃;,/v./@早產;
silly ,/adj./@傻的;
smirk ,/v./@傻笑;,/n./@傻笑;
simth ,/n./@匠;
sniff ,/v./@嗅;,/v./@聞;
spicy ,/adj./@辛辣的;
spill ,/v./@溢出;,/v./@灑落;
split ,/v./@分裂;,/v./@劈;
stick ,/v./@粘貼;,/n./@枝;,/v./@紥;
stiff ,/adj./@拘謹的;,/adj./@僵硬的;,/adj./@剛強的;,/adj./@強烈的;,/adj./@生硬的;,/adj./@艱難的;,/adj./@拉緊的;
still ,/adv./@一直;,/adv./@仍然;
sting ,/v./@刺;,/v./@蟄;
strip ,/v./@剝奪;,/vt./@脱掉;,/vt./@脱光;,/n./@条;,/n./@狭长地带;,/n./@队服;,/n./@脱衣舞;,/vt./@除去;
swift ,/n./@快速的;
swish ,/v./@鞭打;
swirl ,/n./@漩渦;,/v./@打旋;
thick ,/adj./@厚的;,/adj./@濃的;
thigh ,/n./@大腿;
thing ,/n./@事物;
think ,/v./@認爲;,/v./@想;,/v./@思考;
third ,/adj./@第三的;
tippy ,/adj./@不安定的;,/adj./@容易傾斜的;
trick ,/n./@詭計;,/n./@竅門;,/v./@欺詐;,/v./@哄騙;
twirl ,/v./@旋轉;,/v./@轉動;
twist ,/v./@轉動;,/v./(使)@纏繞;,/v./@歪曲;,/v./@彎曲;,/v./@扭轉;,/v./@轉變;
width ,/n./@寬度;
which ,/pron./@哪一個;
whiff ,/v./@吸;,/v./@喷出;
whirr ,/v./@呼呼;
whirl ,/vt./@旋轉;,/n./@旋轉;,/n./@迴旋;,/vi./@疾馳;
wring ,/v./@擰;,/v./@絞;
wrist ,/n./@手腕;
witch ,/n./@女巫;
block ,/v./@阻礙;,/n./@街區;
blond ,/adj./@金髮的;
broth ,/n./@燉湯;,/n./@高湯;,/n./@湯;
brown ,/adj./@棕色的;
cocky ,/adj./@自大的;
clock ,/n./@鍾;
cloth ,/n./@布;
clown ,/n./@小醜;
comfy ,/adj./@舒服的;
corny ,/adj./@穀類的;,/adj./@陳腔濫調的;,/adj./@陳腐的;,/adj./@老套的;,/adj./@老掉牙的;,/adj./@平淡乏味的;,/adj./@粗野的;
cross ,/v./@穿越;,/n./@叉形;,/n./@十字架;,/n./@十字标;,/adj./@横向的;,/adj./@斜线的;,/vt./@穿过;,/vt./@横穿;
crowd ,/n./@人羣;
crown ,/n./@王冠;
flock ,/n./@羣;,/n./@衆多;,/n./@一羣;
folly ,/n./@愚笨;
front ,/n./@正面;,/n./@前線;
frost ,/n./@霜;,/n./@霜凍;,/v./@結霜;
forth ,/adv./@向前;,/adv./@向外;
froth ,/n./@泡沫;,/n./@泡;,/vi./@起泡沫;,/vi./@吐白沫;
frown ,/v./@皺眉;
ghost ,/n./@鬼;,/n./@幽靈;
glory ,/n./@光榮;
gross ,/adj./@總的;,/adj./@粗糙的;,/adj./@粗野的;,/adj./@惡劣的;
growl ,/v./@咆哮;
hobby ,/n./@業余愛好;
holly ,/n./@冬青;
horny ,/adj./@淫蕩的;,/adj./@角狀的;
known ,/v./@知道;
lobby ,/n./@前廳;,/v./@遊說;,/n./@大堂;
moldy ,/adj./@發霉的;,/adj./@陳腐的;
month ,/n./@月;
morph ,/n.v./@詞態;,/v./@改變;
north ,/n./@北方;
notch ,/n./@劃痕;,/n./@凹口;,/n./@等級;,/n./@峽谷;,/v./@贏得;
phony ,/adj./@虛假的;
porch ,/n./@門廊;
potty ,/n./@厠所;,/n./@便壺;
scoff ,/v./@嘲笑;
scold ,/v./@訓斥;
scorn ,/v./@蔑視;,/v./@嘲諷;
scowl ,/v./@愁容;
shock ,/v./@震驚;
short ,/adj./@短的;
sloth ,/n./@懶惰;,/n./@樹懶;
snort ,/v./@輕蔑地發出哼聲;
sport ,/n./@運動;,/v./@嘻戯;,/v./@玩耍;
sorry ,/n./@抱歉;,/adj./@悲傷的;
stock ,/n./@儲備;,/n./@股票;
storm ,/n./@風暴;
strop ,/v./@磨;
story ,/n./@故事;
sword ,/n./@劍;
thong ,/n./@皮帶;,/v./@鞭打;
throb ,/v./@悸動;,/n./@悸動;
throw ,/v./@扔;
torch ,/n./@火炬;,/n./@手電筒;
troll ,/v./@輪唱;,/v./@拖餌釣魚;,/n./@輪唱;,/n./@拖餌釣魚;
world ,/n./@世界;
wrong ,/adj./@錯誤的;,/adv./@錯誤地;,/v./@冤枉;,/v./@誹謗;
worst ,/adj./@最差的;,/adj./@最壞的;
worry ,/v./@擔心;
Dutch ,/n./@荷蘭人;,/n./@荷蘭語;,/adj./@荷蘭的;,/adj./@荷蘭人的;,/adj./@荷蘭語的;
bluff ,/v./@嚇唬;
blunt ,/adj./@鈍的;
blurt ,/v./@突然說出;
bully ,/v./@欺負;,/n./@惡霸;
bunch ,/n./@束;
brunt ,/n./@衝擊;,/n./@撞擊;
brush ,/n./@刷;
burst ,/vi./@爆炸;
bushy ,/adj./@濃密的;
busty ,/adj./@大胸脯的;,/adj./@胸部豐滿的;
chump ,/n./@大肉片;,/n./@笨蛋;
chunk ,/n./@大塊;,/n./@厚塊;,/n./@大部分;
churn ,/v./@攪拌;,/v./@攪動;
curly ,/adj./@捲曲的;,/adj./@捲毛的;
crumb ,/n./@面包屑;,/n./@碎屑;,/v./@弄碎;,/n./@可鄙的人;
crush ,/v./@鎭壓;
crust ,/n./@麵包皮;,/n./@硬外皮;,/n./@地殼;,/n./@甲殼;,/n./@痂;,/n./@外殼;
curry ,/n./@咖哩;
dummy ,/adj./@假的;,/n./@傀儡;,/adj./@虛擬的;
drunk ,/adj./@喝醉的@<drink的過去式>;
fluky ,/adj./@僥幸的;,/adj./@幸中的;,/adj./@不可靠的;
flunk ,/n./@失敗;,/n./@放棄;,/n./@不及格;
flush ,/v./@激動;,/v./@发紅;,/adj./@洋溢的;,/v./@旺盛;,/v./@奔流;
fully ,/adv./@完全;,/adv./@徹底;
funny ,/adj./@有趣的;,/adj./@可笑的;
furry ,/adj./@毛皮的;,/adj./@覆有毛皮的;,/adj./@毛皮製的;,/adj./@毛皮般的;
fussy ,/adj./@易煩惱的;,/adj./@愛挑剔的;,/adj./@難以取悅的;
fuzzy ,/adj./@模糊的;,/adj./@失眞的;
gruff ,/adj./@粗暴的;
grunt ,/v./@咕噥;
gusty ,/adj./@陣風的;
hunch ,/n./@預感;,/n./@直覺;,/vi./@弓身;,/vt./@隆起;
hunky ,/adj./@结实性感的;
hurry ,/n./@匆忙;,/v./@趕緊;
lucky ,/adj./@幸運的;
lunch ,/n./@午餐;
mulch ,/n./@護根;,/n./@護蓋物;
murky ,/adj./@黑暗的;,/adj./@昏暗的;,/adj./@陰鬱的;,/adj./@浑浊的;,/adj./@不可告人的;
musty ,/adj./@發霉的;,/adj./@落伍的;,/adj./@冷淡的;
pluck ,/v./@拉;,/v./@拽;,/v./@扯;,/n./@勇氣;,/n./@内臟;
plumb ,/n./@鉛錘;,/n./@垂直;,/v./@探測;,/v./@垂直;
plush ,/n./@長毛絨;,/n./@厚絨布;,/adj./@长毛绒的;,/adj./@豪華的;,/adj./@奢侈的;
punch ,/v./@用拳擊;,/n./@鑽孔機;,/v./@開洞;
putty ,/n./@油灰;
ruddy ,/adj./@紅的;
rugby ,/n./@英式橄欖球;
scull ,/n./@短槳;,/n./@賽艇;,/v./@搖槳;,/v./@划船;
scrub ,/v./@擦洗;,/n./@矮樹;
shrug ,/v./@聳;,/v./@聳肩;
skull ,/n./@顱骨;
sulky ,/adj./@生氣的;
slump ,/v./@下降;,/n./@衰退;
sully ,/v./@玷污;,/n./@污點;,/n./@損傷;
snuff ,/v./@掐滅;,/v./@撲滅;
spurn ,/v./@唾棄;,/v./@摒棄;
spurt ,/v./@冲刺;,/v./@喷出;,/v./@迸发;
stuck ,/v./@被卡住;
study ,/v./@研究;,/v./@學習;
stuff ,/n./@東西;,/n./@材料;,/v./@塞滿;
stump ,/n./@樹樁;
syrup ,/n./@糖漿;,/n./@糖水;,/n./@果汁;
thumb ,/n./@拇指;
thump ,/v./@重擊;
truck ,/n./@卡車;
truth ,/n./@眞理;,/n./@事實;
trump ,/n./@王牌;
trunk ,/n./@樹幹;,/n./@行李箱;,/n./@象鼻;,/n./@軀幹;,/n./@大箱子;
trust ,/v./@相信;
