FBI ,/n.//abbr./@聯邦調查局;
wax ,/n./@蠟;
way ,/n./@方法;,/n./@路;
bed ,/n./@牀;
beg ,/v./@乞求;
bet ,/v./@打賭;
den ,/n./@穴;,/n./@窩;,/n./@巢;,/n./@小房間;,/n./@密室;
dye ,/v./@染色;
few ,/adj./@很少的;
egg ,/n./@蛋;
gem ,/n./@寶石;
get ,/v.//vt./@得到;,/vi./@成爲;,/v./@變得;
hem ,/n./@火腿;,/n./@邊;
hen ,/n./@母鷄;
her ,/pron./@她;
hex ,/n./@十六進制;
jet ,/n./@噴氣式飛機;
key ,/n./@鑰匙;,/n./@关鍵;
elf ,/n./@精靈;
leg ,/n./@腿;
let ,/v./@讓;
men ,/n./@男人;
met ,/v./@遇見;
end ,/v./@結束;
net ,/n./@網;
new ,/adj./@新的;
pen ,/n./@鋼筆;
per ,/prep./@每;,/prep./@由;,/prep./@按照;
pet ,/n./@寵物;
red ,/adj./@紅色的;,/n./@紅;
she ,/pron./@她;
set ,/v./@設立;,/v./@放置;,/n./@集合;
sew ,/v./@縫紉;
sex ,/n./@性;
etc ,/int./@等等;
the ,/art./@@特指定冠詞;
ten ,/adj./@十;
vet ,/n./@獸醫;
web ,/n./@網;
wed ,/vi./@結婚;,/v./@娶;,/v./@嫁;
wet ,/adj./@濕@的;
yes ,/adj./@對;,/adj./@是的;
yet ,/adv./@還;,/conj./@但是;,/conj./@然而;,/adv./@已經;
zen ,/n./@禪;
bid ,/v./@投標;
big ,/adj./@大的;
bin ,/n./@箱;
bit ,/n./一@點兒;
did ,/vt./<do的過去式>@做;
dig ,/v./@挖;
dim ,/n./@朦朧;,/n./@昏暗;
din ,/v./@喧闹;,/v./@喋喋不休;,/n./@喧嚣;
dip ,/v./@蘸;
dis ,/pref./@不@...的;
fin ,/n./@鰭;,/n./@翼;
fir ,/n./@杉木;
fit ,/v./@適合;
fix ,/v./@維修;
gin ,/n./@杜松子酒;
him ,/pron./@他;
hip ,/n./@臀部;
his ,/pron.//adj./@他的;
hit ,/v./@打;,/v./@擊;
kid ,/n./@小孩;,/n./@孩童;
kit ,/n./@工具箱;,/n./@裝備;
ill ,/n./@病;,/adj./@病態的;,/adj./@生病的;
lid ,/n./@蓋子;
lip ,/n./@嘴唇;
mid ,/n./@中;
mix ,/v./@混合;
inn ,/n./@客棧;
ink ,/n./@墨水;
nit ,/n./@虱卵;
pig ,/n./@豬;
pin ,/n./@別針;
pit ,/n./@坑;,/n./@窪;,/n./@煤礦;,/n./@桃核;
rib ,/n./@肋排;
rid ,/vt./(使)@擺脫;
rim ,/n./@邊;,/n./@邊緣;
rip ,/v./@撕;,/v./@鋸;
sin ,/n./@罪惡;
sip ,/v./@抿;
sir ,/n./@先生;
sit ,/v./@坐;
six ,/adj./@六;
tin ,/n./@錫;
tip ,/n./@小費;,/n./@傾覆;,/n./@尖端;
wig ,/n./@假发;
win ,/v./@贏;,/v./@勝;
wit ,/n./@智力;,/n./@機智;,/n./@才智;,/v./@知道;
yip ,/v./@尖叫;,/v./@犬吠;
bot ,/n./@馬蠅;
bow ,/v./@鞠躬;
box ,/n./@盒子;
boy ,/n./@男孩;
con ,/adj./@否@定;,/adj./@否@...的;,/adj./@反@...的;
cop ,/n./@警察;
cow ,/n./@牛;
odd ,/adj./@奇怪的;,/n./@奇數;
dog ,/n./@狗;
don ,/v./@穿上;
dot ,/n./@點;
off ,/prep./@離開;,/adv./@掉;,/adv./@关;
fog ,/n./@霧;
for ,/conj./@爲;,/conj./@爲了;,/conj./@因爲;,/conj./@對于;
oft ,/adv./@常常;,/adv./@時常;,/adv./@經常;
fox ,/n./@狐狸;
god ,/n./@上帝;,/n./@神;
got ,/v./@得到;
hog ,/n./@豬;,/v./@拱起;
hop ,/v./@跳;
hot ,/adj./@熱;
how ,/adv./@如何;,/adv./@多麽;,/adv./@怎樣;
job ,/n./@工作;
jog ,/v./@慢跑;
joy ,/n./@愉快;
old ,/adj./@老的;,/adj./@舊的;
log ,/n./@木材;
lot ,/n./@場;
low ,/adj./@低的;
mom ,/n./@母親;
mob ,/n./@暴民;
mop ,/n./@拖把;,/v./@拖洗;,/v./@擦乾;
non ,/adj./@非@...的;
nod ,/v./@點頭;
nor ,/adv./@也不;,/conj./@也不;
not ,/adv./@不@是;
now ,/adv./@現在;
pop ,/v./@彈;,/abbr./@流行的;
pod ,/n./@豆莢;,/v./@結豆莢;
pro ,/n./@贊成;,/adv./@贊成地;
opt ,/vi./@選擇;
pot ,/n./@壺;,/n./@罐;,/n./@鍋;
rob ,/v./@搶劫;
rod ,/n./@棒;,/n./@桿;,/n./@竿;,/n./@槓;,/n./@枝條;,/n./@權力;
rot ,/v./@腐爛;,/v./@枯朽;,/v./@腐朽;,/v./@腐敗;
row ,/n./@排;,/n./@列;,/v./@划@船;
sob ,/v./@啜泣;
son ,/n./@兒子;
sow ,/v./@播種;,/v./@散佈;,/n./@母豬;
soy ,/n./@醬油;
tom ,/n./@任何人;,/n./@雄性動物;
top ,/n./@頂;,/n./@端;
two ,/adj./@二;
toy ,/n./@玩具;
vow ,/v./@发誓;
who ,/wh.//pron./@誰;
owl ,/n./@貓頭鷹;
own ,/v./@擁有;,/adj./@自己的;
won ,/v./@贏@<win 的過去式>;
bud ,/n./@萌芽;
bug ,/n./@臭蟲;,/n./@蟲子;
bun ,/n./@饅頭;
bus ,/n./@公交車;
but ,/conj./@但是;,/adv./@僅僅;,/prep./@除了;
buy ,/v./@買;
cup ,/n./@杯子;
cut ,/v./@剪;
dub ,/v./@配音;
flu ,/n./@流感;
fun ,/n./@樂趣;,/n./@玩笑;
fur ,/n./@皮;
gum ,/n./@口香糖;,/n./@樹膠;,/n./@橡皮;
gun ,/n./@槍;
gut ,/n./@內脏;,/n./@腸子;,/n./@劇情;,/n./@膽量;,/adj./@簡單的;
guy ,/n./@家夥;
hug ,/v./@擁抱;
hum ,/v./@哼;
hut ,/n./@茅屋;,/n./@木屋;
jug ,/n./@水壺;,/n./@罐;,/v./@關押;
jut ,/v./@伸出;,/v./@突出;,/n./@突出;,/n./@尖端;
mud ,/n./@泥漿;
mug ,/n./@大杯;
unt ,/n./@阿姨;
pub ,/n./@酒館;
pun ,/n./@雙關語;,/n./@俏皮話;,/v./@說雙關語;
put ,/v./@放;
rub ,/v./@擦;,/v./@摩擦;
rug ,/n./@小地毯;
run ,/v./@跑;
rut ,/n./@發情期;,/n./@性衝動;,/n./@凹槽;,/n./@慣例;
suc ,/pref./@往下;
sum ,/n./@綜合;
sun ,/n./@太陽;
tut ,/v./@嘖;
tub ,/n./@浴盆;,/n./@桶;
tug ,/v./@拉;
