Kabbalah ,/n./@卡巴拉;
asperity ,/n./@粗暴;
asterisk ,/n./@星號;
bachelor ,/n./@單身漢;,/n./@學士;
category ,/n./@种类;
allegory ,/n./@寓言;,/n./@諷喻;
ancestor ,/n./@祖先;
pantheon ,/n./@万神殿;
waterpot ,/n./@水罐;
addendum ,/n./@附錄;,/n./@附件;,/n./@補遺;
grateful ,/adj./@感激的;
wasteful ,/adj./@挥霍的;
Cabalism ,/redirected./@target="Kabbalism";
Cabalist ,/redirected./@target="Kabbalist";
Paladins ,/n./@圣骑士;
Qabalism ,/redirected./@target="Kabbalism";
Qabalist ,/redirected./@target="Kabbalist";
Spaniard ,/n./@西班牙人;
chairman ,/n./@主席;
calamity ,/n./@災難;
campaign ,/n./@戰役;,/n./@運動;
cannibal ,/n./@食人者;,/n./@吃同類的動物;,/adj./@食人肉的;,/adj./@食同類的;
capacity ,/n./@容量;,/n./@容積;
cardinal ,/adj./@主要的;,/adj./@鲜红色的;,/n./@红衣主教;
carnival ,/n./@狂歡節;,/n./@嘉年華會;
activism ,/n./@激進主義;,/n./@行動主義;
activity ,/n./@活动;
facility ,/n./@设施;
affinity ,/n./@密切;,/n./@吸引力;,/n./@喜歡;
graffiti ,/n./@塗鴉;
gymnasia ,/n./@體育館;,/n./@健身房;
handicap ,/v./@妨礙;,/n./@障礙;
alacrity ,/n./@樂意;,/n./@欣然;
mandarin ,/n./@大人;,/adj./@官方的;
mainland ,/n./@大陸;,/n./@本土;
analysis ,/n./@分析;
anarchic ,/adj./@無政府的;
nativity ,/n./@耶稣的诞生;
paganism ,/n./@异教;
painting ,/n./@绘画;
paradigm ,/n./@範式;,/n./@範例;,/n./@典範;,/n./@詞形變化;,/n./@詞形變化表;
aircraft ,/n./@飛行器;,/n./@航空器;
archaism ,/n./@古語;
armchair ,/n./@扶手椅;,/adj./@無實際經驗的;,/adj./@脫離實際的;,/adj./@不切實際的;
rainfall ,/n./@下雨;,/n./@降雨;,/n./@降雨量;
airstrip ,/n./@飛機跑道;,/n./@小型機場;,/n./@簡便機場;,/n./@臨時飛機跑道;
airtight ,/adj./@无懈可击的;
artistic ,/adj./@艺术的;
sadistic ,/adj./@虐待狂的;,/adj./@施虐狂的;,/adj./@殘酷成性的;
assassin ,/n./@刺客;
sanitary ,/adj./@公共衛生的;,/adj./@衛生的;,/adj./@衛生上的;,/adj./@清潔的;
tactical ,/adj./@战术上的;,/adj./@战术的;,/adj./@有谋略的;,/adj./@短程的;
talisman ,/n./@護身符;
training ,/n./@训练;
validity ,/n./@有效性;,/n./@正确性;,/n./@合法性;
banister ,/n./@欄杆的支柱;
accident ,/n./@事故;
canister ,/n./@筒;,/n./@罐;
dynamite ,/n./@炸药;
gradient ,/n./@斜坡;,/n./@坡度;,/n./@斜率;,/n./@梯度;
landmine ,/n./@地雷;
magister ,/n./@教師;
manifest ,/v./@表明;
practice ,/v./@練習;,/n./@練習;,/n./@實施;,/n./@實踐;,/n./@習慣;
practise ,/v./@练习;,/v./@实践;
particle ,/n./@颗粒;
tangible ,/adj./@有形的;,/adj./@切实的;
waitress ,/n./@女侍者;
champion ,/n./@冠军;
fraction ,/n./@分數;,/n./@部分;,/n./@小部分;,/n./@片段;
graffito ,/n./@塗鴉;
garrison ,/n./@要塞;,/v./@駐防;,/v./@守衛;,/n./@卫戍部队;
gyration ,/n./@旋轉;,/n./@螺旋;,/n./@迴旋;
sanction ,/n./@批准;,/n./@认可;
stallion ,/n./@種馬;,/n./@成年公馬;
traction ,/n./@牵引;,/n./@牵引力;
faithful ,/adj./@有信心的;
scandium ,/n./@鈧;
abnormal ,/adj./@异常的;
bathroom ,/n./@浴室;
charcoal ,/n./@木炭;
lavatory ,/n./@盥洗室;,/n./@廁所;
mahogany ,/n./@桃花心木;
approach ,/v./@接近;,/n./@途徑;
approval ,/n./@赞成;
apostasy ,/n./@變節;,/n./@背叛;,/n./@叛教;
arrogant ,/adj./@傲慢的;,/adj./@自大的;
staccato ,/n./@斷音;,/n./@斷奏;,/adj./@斷音的;,/adj./@斷奏的;
taxonomy ,/n./@分類法;,/n./@分類學;
Passover ,/n./@逾越節;
backbone ,/n./@脊骨;
capstone ,/n./@顶石;,/n./@压顶石;
handsome ,/adj./@帅气的;
allotted ,/adj./@专款的;,/adj./@拨出的@<allot的过去式>;
manpower ,/n./@人力;
attorney ,/n./@律师;,/n./@代理人;
wardrobe ,/n./@衣柜;
Slavonic ,/adj./@斯拉夫民族的;,/adj./@斯拉夫人的;,/adj./@斯拉夫語的;,/n./@斯拉夫人;,/n./@斯拉夫語;
catholic ,/adj./@天主教的;
daffodil ,/n./@黃水仙花;
admonish ,/v./@告誡;,/v./@勸告;
agnostic ,/adj./@不可知論的;,/n./@不可知論者;
majority ,/n./@多数;
mandolin ,/n./@曼陀林;
narcotic ,/n./@致幻毒品;,/n./@催眠藥;,/n./@麻醉劑;,/adj./@麻醉的;
annoying ,/adj./@令人烦恼的;
aphorism ,/n./@格言;,/n./@箴言;
arborist ,/n./@园艺设计师;
astonish ,/v./使@惊讶;
atrocity ,/n./@暴行;,/n./@凶恶;,/n./@残暴;,/n./@殘酷;
badmouth ,/vt./@詆毀;,/vt./@批評;
blackout ,/n./@黑屏;
Saturday ,/n./@星期六;
abundant ,/adj./@丰富的;
calculus ,/n./@微积分;
accuracy ,/n./@精确;,/n./@精确性;
casualty ,/n./@傷亡;,/n./@伤亡人员;,/n./@受害者;,/n./@急诊室;
casually ,/adj./@随便的;
actually ,/adv./@事实上;
granular ,/adj./@粒狀的;,/adj./@颗粒的;,/adj./@粗糙的;,/adj./@顆粒性的;
ambulant ,/adj./@流动的;,/adj./@走动的;
daughter ,/n./@女儿;
adultery ,/n./@通姦;
affluent ,/adj./@富裕的;,/adj./@丰富的;
fracture ,/n./@斷裂;,/v./@折斷;,/n./@骨折;
gauntlet ,/n./@长手套;,/n./@金属护手;
laughter ,/n./@笑;,/n./@笑聲;
argument ,/n./@论证;,/n./@论点;
languish ,/vi./@憔悴;,/vi./@凋萎;,/vi./@蕭條;,/vi./@苦思;
altruism ,/n./@利他主義;
tranquil ,/adj./@宁静的;
December ,/n./@十二月;
cemetery ,/n./@墓地;
credence ,/n./@可信性;,/n./@相信;,/n./@祭器臺;
defender ,/n./@守卫者;
dejected ,/adj./@沮丧的;,/adj./@情绪低落的;,/adj./@垂头丧气的;
deserter ,/n./@逃兵;,/n./@背棄者;
detecter ,/n./@探测器;
engender ,/v./@产生;
peerless ,/adj./@無與倫比的;,/adj./@無雙的;,/adj./@無可匹敵的;,/adj./@舉世無雙的;,/adj./@絕世的;
preserve ,/v./@保护;,/v./@维持;,/v./@保存;
perverse ,/adj./@不当的;,/adj./@有悖的;,/adj./@违反常理的;,/adj./@乖戾的;,/adj./@倔强的;,/adj./@堕落的;
remember ,/v./@记得;,/v./@想起;,/v./@記住;
resemble ,/v./@像;,/v./@类似于;
semester ,/n./@學期;
sentence ,/n./@句子;,/v./@判刑;
tenement ,/n./@廉價公寓;,/n./@套間;,/n./@租屋;
vehement ,/adj./@激烈的;
whenever ,/conj./@無論何時;
wherever ,/adv./@無論哪裡;
bedazzle ,/v./@吸引;
betrayal ,/n./@背叛;
cemetary ,/n./@墓地;
decadent ,/adj./@颓废的;
feedback ,/n./@反饋;
greatest ,/adj./@最伟大的;
membrane ,/n./@膜;,/n./@薄膜;,/n./@膜狀物;
merkabah ,/n./@梅爾卡巴;
necklace ,/n./@项链;
entangle ,/v./使@纠缠;
entrance ,/n./@入口;
pedestal ,/n./@基架;,/n./@基座;,/n./@基础;,/n./@支持;
pleasant ,/adj./@令人愉快的;
pentacle ,/n./@五角星;,/n./@護身符;
recharge ,/v./@充值;,/v./@充电;
referral ,/n./@转诊;,/n./@轉交;,/n./@提交;
relevant ,/adj./@相关的;
research ,/n./@调查;
retarded ,/adj./@弱智的;,/adj./@智力遲鈍的;,/adj./@智障的;,/adj./@遲鈍的;
revenant ,/adj./@归来的;,/adj./@亡魂的;,/adj./@幽灵的;,/n./@亡魂;
reversal ,/n./@颠倒;,/n./@逆转;,/n./@对调;,/n./@撤销;
rearward ,/adv./@向後;,/adj./@向後的;
skeletal ,/adj./@骨骼的;,/adj./@骸骨的;,/adj./@梗概的;,/adj./@大概的;
estrange ,/v./@疏遠;,/v./@離間;
threaten ,/v./@恐吓;
template ,/n./@模版;
vertebra ,/n./@脊椎骨;
weakness ,/n./@弱点;
wreckage ,/n./@残骸;
exchange ,/v./@交换;
exemplar ,/n./@模範;,/n./@範例;,/n./@典型;
external ,/adj./@外部的;,/adj./@外界的;,/adj./@對外的;,/adj./@外來的;
mechanic ,/n./@机修工;
megalith ,/n./@巨石;
emphasis ,/n./@重点;
emphatic ,/adj./@明确的;,/adj./@坚决的;,/adj./@坚定的;,/adj./@明显的;,/adj./@重读的;,/adj./@断然的;
engaging ,/adj./@吸引人的;
entrails ,/n./@內臟;,/n./@內部;
restrain ,/v./@抑制;
semantic ,/adj./@語義的;
verbatim ,/adj./@逐字的;,/adv./@逐字地;
veracity ,/n./@真實;,/n./@誠實;,/n./@真實性;
deadlock ,/n./@僵局;,/n./@僵持;
headlong ,/adv./@頭朝前地;,/adj./@頭朝前的;,/adv./@莽撞地;,/adj./@莽撞的;
heptagon ,/n./@七边形;,/n./@七角形;
emblazon ,/v./@頌揚;,/v./@用紋章裝飾;
methanol ,/n./@甲醇;
metaphor ,/n./@暗喻;,/n./@隱喻;,/n./@象徵;
metatron ,/n./@梅塔特隆;
pentagon ,/n./@五边形;,/n./@五角形;,/n./(the Pentagon)@五角大廈;,/n./(the Pentagon)@美國國防部;
refactor ,/n./@重構;,/v./@重構;
eschaton ,/n./@末世;
testator ,/n./@立遺囑者;
weaponry ,/n./@武器;
dreadful ,/adj./@可怕的;,/adj./@令人恐懼的;,/adj./@糟透的;
treasury ,/n./@金库;
benedict ,/v./@祝福;
celerity ,/n./@速度;
eclectic ,/adj./@兼收并蓄的;,/adj./@不拘一格的;,/adj./@相容並蓄的;,/adj./@博採眾長的;
derelict ,/adj./@破败的;,/adj./@荒废的;
describe ,/v./@描述;
designer ,/n./@设计师;
destrier ,/n./@军马;
fleeting ,/adj./@短暂的;
flexible ,/adj./@灵活的;
frenzied ,/adj./@瘋狂的;,/adj./@狂熱的;
greeting ,/n./@问候;,/n./@致敬;,/n./@欢迎;
jetliner ,/n./@噴氣客機;
electric ,/adj./@电的;
meninges ,/n.//pl./@腦膜;
entirely ,/adv./@完全地;
entirety ,/n./@全部;,/n./@總體;,/n./@全體;,/n./@完整;
epilepsy ,/n./@癲癇;
penitent ,/adj./@懺悔的;,/adj./@悔過的;
prestige ,/n./@威望;,/n./@聲望;,/n./@名望;
refinery ,/n./@精炼;,/n./@精炼厂;
regiment ,/n./@團;,/n./@大量;
register ,/v./@登记;,/v./@挂号;
resident ,/n./@居民;
sediment ,/n./@沉淀;
sensible ,/adj./@明智的;
sentient ,/adj./@有知覺的;,/adj./@有感覺能力的;,/adj./@有意識的;,/adj./@有感情的;
specific ,/adj./@特殊的;,/adj./@明确的;
serenity ,/n./@晴朗;,/n./@安靜;
severity ,/n./@嚴重;,/n./@劇烈;,/n./@嚴厲;,/n./@嚴格;,/n./@嚴肅;,/n./@樸素;,/n./@簡樸;,/n./@簡潔;,/n./@嚴謹;,/n./@嚴峻;,/n./@艱苦;,/n./@艱難;,/n./@嚴苛;,/n./@嚴酷;
terrible ,/adj./@可怕的;
terrific ,/adj./@极大的;
exciting ,/adj./@令人兴奋的@<excite的正在进行时>;
explicit ,/adj./@明确的;
existent ,/adj./@存在的;
eyesight ,/n./@视力;
chemical ,/adj./@化学的;,/n./@化学药品;,/n./@化学制品;
dyslexia ,/n./@诵读困难;
festival ,/n./@节日;
hesitant ,/adj./@猶豫的;,/adj./@遲疑的;
hysteria ,/n./@癔病;
emigrant ,/n./@移民;
emissary ,/n./@密使;,/n./@特使;,/n./@間諜;,/adj./@密使的;,/adj./@間諜的;
epiphany ,/n./@頓悟;,/n./@顯現;,/n./@主顯節;
seminary ,/n./@神學院;,/n./@私立學校;
terminal ,/n./@终端;,/n./@终点;
tertiary ,/adj./@第三的;,/adj./@第三纪的;,/adj./@第三系的;,/adj./@第三产业的;,/adj./@高等教育的;
vertical ,/adj./@垂直的;,/adj./@竖的;
neighbor ,/n./@邻居;
merciful ,/adj./@仁慈的;
ceremony ,/n./@仪式;,/n./@典礼;,/n./@礼节;
defector ,/n./@叛徒;,/n./@逃兵;
deponent ,/adj./@異態的;,/n./@異態動詞;,/n./@證人;
geometry ,/n./@幾何學;
hedgehog ,/n./@刺猬;
hegemony ,/n./@霸權;,/n./@領導權;
embolden ,/v./使@有膽量;
employer ,/n./@雇主;
recorder ,/n./@記錄員;,/n./@錄音機;
recovery ,/n./@恢复;,/n./@痊愈;
reporter ,/n./@報告人;,/n./@記者;
response ,/n./@反应;,/n./@響應;
skeleton ,/n./@骨架;,/n./@骨骼;,/n./@綱要;
espresso ,/n./@濃咖啡;
teleport ,/v./@瞬間移動;,/v./@心靈傳輸;
werewolf ,/n./@狼人;
exponent ,/adj./@說明的;,/n./@指數;,/n./@典型;,/n./@說明;
democrat ,/n./@民主党人;
jeopardy ,/n./@危險;
keyboard ,/n./@键盘;
encroach ,/vi./@侵佔;,/vi./@侵入;,/vi./@侵蝕;,/vi./@侵犯;
personal ,/adj./@个人的;
reproach ,/vt./@責備;,/vt./@斥責;,/n./@責備;,/vt./@指責;
temporal ,/adj./@时间的;,/adj./@暫存的;,/adj./@短暫的;,/adj./@世間的;,/adj./@世俗的;,/adj./@現世的;,/adj./@時態的;
yeomanry ,/n./@自耕農;,/n./@自由民;,/n./@義勇騎兵隊;
demolish ,/v./@拆除;,/v./@破壞;,/v./@爆破;,/v./@毀壞;
detoxify ,/vt./@戒毒;,/vt./@去毒;,/vi./@解毒;
ferocity ,/n./@兇猛;,/n./@殘暴;
hedonism ,/n./@享樂主義;,/n./@快樂主義;
nepotism ,/n./@裙帶關係;
rhetoric ,/n./@修辭;,/n./@修辭學;,/n./@雄辯;,/n./@言辞;,/n./@辭令;,/n./@言語;
tectonic ,/adj./@构造的;,/adj./@建筑的;,/adj./@地壳构造的;
velocity ,/n./@速度;,/n./@速率;
vermouth ,/n./@苦艾酒;
cerebrum ,/n./@大腦;
debugger ,/n./@调试器;,/n./@调试程序;
frequent ,/adj./@频繁的;
pendulum ,/n./@摆;
preclude ,/vt./@排除;,/vt./@防止;,/vt./@杜絕;
pressure ,/n./@压力;
schedule ,/n./@日程;,/n./@安排;
septuple ,/adj./@七倍的;
sextuple ,/adj./@六倍的;
February ,/n./@二月;
cellular ,/adj./@细胞的;,/adj./@多孔的;
penumbra ,/n./@半阴影;,/n./@半影;
petulant ,/adj./@暴躁的;,/adj./@任性的;
rebuttal ,/n./@反驳;,/n./@反证;
republic ,/n./@共和;
security ,/n./@安全;
civility ,/n./@礼仪;
diminish ,/v./@减少;,/v./@縮小;
divinity ,/n./@神性;,/n./@神;,/n./@神學;
lividity ,/n./@鐵青色;,/n./@鉛色;
implicit ,/adj./@含蓄的;,/adj./@暗示的;,/adj./@盲從的;
infinity ,/n./@无穷;,/n./@无限;,/n./@无数;
nihilism ,/n./@虛無主義;
rhinitis ,/n./@鼻炎;
vicinity ,/n./@附近;,/n./@邻近;
billiard ,/adj./@台球的;
criminal ,/n./@罪犯;
critical ,/adj./@批评的;,/adj./@批判的;,/adj./@批判性的;
disclaim ,/v./@否認;,/v./@放棄;
disarray ,/n./@無序;,/n./@杂乱;,/n./@混乱;,/vt./@弄亂;
gigantic ,/adj./@巨大的;,/adj./@龐大的;
militant ,/adj./@好戰的;,/adj./@好鬥的;,/adj./@激進的;
military ,/adj./@军事的;
misalign ,/n.//v./@不重合;,/n./@对偏;,/n./@位移;
intimacy ,/n./@亲密;
vigilant ,/adj./@警惕的;,/adj./@警戒的;,/adj./@警醒的;
virginal ,/adj./@處女的;,/adj./@處女般的;,/adj./@純潔的;,/adj./@純真的;
disabled ,/adj./@残疾的;,/adj./@丧失能力的;
disgrace ,/n./@耻辱;
distaste ,/v./@厭惡;
distance ,/n./@距离;
disaster ,/n./@灾难;
immanent ,/adj./@內在的;
nickname ,/n./@绰号;
infrared ,/adj./@红外线的;,/n./@紅外線;
instance ,/n./@例子;,/n./@實例;,/n./@情況;,/n./@場合;,/vt./@舉例;,/vt./@引證;
pinnacle ,/n./@山頂;,/n./@山峰;,/n./@頂峰;,/n./@頂點;,/n./@尖頂;,/n./@小尖塔;
triangle ,/n./@三角形;,/n./@三角;,/n./@三角形之物;,/n./@三角鐵;,/n./@三角板;,/n./@三件套;,/n./@三角關係;,/n./@三角星座;
cinnamon ,/n./@桂皮;,/n./@肉桂树;,/n./@浅黄褐色;
dictator ,/n./@獨裁者;
striatum ,/redirected./@target="corpus striatum";
diligent ,/adj./@努力的;
identify ,/v./@鉴定;,/v./@认出;,/v./@认同;
identity ,/n./@身份;
disciple ,/n./@门徒;
discreet ,/adj./@謹慎的;
discrete ,/adj./@離散的;,/adj./@不連續的;,/n./@獨立部件;,/n./@分立元件;
dishevel ,/v./@弄亂;
dispense ,/v./@分配;,/v./@免除;,/v./@豁免;
disperse ,/v./@分散;,/v./@散開;,/vt./@驅散;,/vt./@解散;,/vt./@疏散;,/vt./@散播;,/vi./@消散;
dividend ,/n./@分红;
fidelity ,/n./@忠誠;,/n./@忠貞;,/n./@精確;
hygienic ,/adj./@衛生的;
likeness ,/n./@相像;,/n./@類似;
minister ,/n./@部长;,/n./@牧师;
imminent ,/adj./@迫近的;,/adj./@临近的;,/adj./@迫在眉睫的;,/adj./@即将来临的;,/adj./@即将发生的;,/adj./@即将作出的;
immmerse ,/n./@沉浸;
mischief ,/n./@惡作劇;
incident ,/n./@事件;
indebted ,/adj./@感激的;,/adj./@感恩的;
indecent ,/adj./@下流的;,/adj./@淫穢的;,/adj./@猥褻的;,/adj./@粗鄙的;,/adj./@不適當的;,/adj./@不禮貌的;,/adj./@不像話的;
indirect ,/n./@间接的;
infringe ,/v./@侵權;,/v./@侵犯;
inherent ,/adj./@固有的;,/adj./@內在的;,/adj./@與生俱來的;,/adj./@生來就有的;
inscribe ,/vt./@刻寫;,/vt./@題寫;,/vt./@題贈;,/vt./@註冊;
internet ,/n./@互联网;
interest ,/n./@利益;,/n./@兴趣;
pristine ,/adj./@原始的;,/adj./@古時的;,/adj./@淳樸的;
sinister ,/adj./@陰險的;,/adj./@凶兆的;,/adj./@災難性的;
thirteen ,/n./@十三;
vignette ,/n./@片段;,/n./@短文;,/n./@小插曲;,/n./@花絮;,/n./@圖案;,/n./@蔓藤花樣;,/n./@小花饰;
wireless ,/adj./@無線的;,/n./@無線電;
literacy ,/n./@識字;
mistreat ,/v./@虐待;
integral ,/adj./@組成的;,/adj./@整體的;
interact ,/v./@相互作用;
internal ,/adj./@內部的;,/adj./@國內的;
interval ,/n./@間隔;,/n./@中間休息;
visceral ,/adj./@內臟的;
director ,/n./@导演;
firework ,/n./@烟花;
hitherto ,/adv./@迄今;
lifelong ,/adj./@终身的;,/adj./@终生的;
investor ,/n./@投资者;
prideful ,/adj./@高傲的;
spiteful ,/adj./@懷恨的;,/adj./@惡意的;
clitoris ,/n./@陰蒂;
discorso ,/n./@演讲;
historic ,/adj./@有历史意义的;
kinghood ,/n./@國王身分;,/n./@王道;
minority ,/n./@少数;
priority ,/n./@优先;
trillion ,/n./@万亿;
idolatry ,/n./@偶像崇拜;,/n./@盲目崇拜;
disposal ,/n./@处理;,/n./@清理;
ignorant ,/adj./@愚昧的;
littoral ,/adj./@沿海的;,/adj./@海濱的;
immortal ,/adj./@不死的;,/adj./@永生的;
informal ,/adj./@非正式的;
disclose ,/v./@揭開;,/v./@透露;,/vt./@揭露;,/vt./@揭發;
discover ,/v./@发现;
dissolve ,/v./@溶解;,/vt./@解散;,/vt./@解除;,/vt./@終止;,/vi./@消失;
disprove ,/v./@反驳;
disorder ,/n./@混乱;,/n./@無秩序;,/n./@騷亂;,/n./@動亂;,/n./@紊亂;,/n./@失調;
imposter ,/n./@冒充者;,/n./@冒名頂替者;
misnomer ,/n./@不当用词;,/n./@用词不当;,/n./@用词不妥;
misorder ,/n./@混乱;
innocent ,/adj./@天真的;
insolent ,/adj./@無理的;,/adj./@傲慢的;
nitrogen ,/n./@氮;
prioress ,/n./@修女院院長;,/n./@大修女院副院長;
ricochet ,/vi./@跳飛;,/vi./@跳射;,/n./@跳飛;,/n./@跳彈;
discount ,/n./@打折;,/vt./@打折扣;,/vt./@不全相信;
dismount ,/v./@下;,/vt./@卸下;
linguist ,/n./@語言學家;
immunity ,/n./@免疫力;,/n./@豁免權;
impunity ,/n./@免受懲處;,/n./@不受懲罰;
impurity ,/n./@雜質;,/n./@不純;,/n./@不潔;,/n./@不純之物;
simulink ,/n./@模型;,/n./@仿真软件;
stimulus ,/n./@刺激;,/n./@刺激物;,/n./@激勵;
tinnitus ,/n./@耳鸣;
circular ,/adj./@循环的;
singular ,/adj./@单数的;,/adj./@独特的;
tribunal ,/n./@法庭;,/n./@仲裁机构;,/n./@公斷;,/n./@法官席;
intruder ,/n./@侵入者;
physique ,/n./@體格;,/n./@體形;
tincture ,/n./@酊劑;
bookworm ,/n./@书虫;,/n./@书呆子;
monopoly ,/n./@垄断;
oncology ,/n./@腫瘤學;
ontology ,/n./@本體論;,/n./@實體論;
protocol ,/n./@協議;,/n./@礼节;,/n./@条约草案;,/n./@议定书;
tomorrow ,/n./@明天;
wormwood ,/n./@苦艾;
Gondwana ,/n./@岡瓦納大陸;
colossal ,/adj./@庞大的;,/adj./@巨大的;
coronary ,/adj./@冠狀動脈的;
download ,/v./@下载;
football ,/n./@足球;
hologram ,/n./@全息圖;,/n./@全息攝影;,/n./@全息照相;,/n./@全息照片;,/n./@立體投影;
honorary ,/adj./@榮譽的;
nomogram ,/n./@列線圖;,/n./@諾謨圖;
nowadays ,/adv./@如今;,/adv./@目前;
proposal ,/n./@提议;
blockade ,/n./@封鎖;,/n./@阻塞;
blockage ,/n./@封鎖;,/n./@阻塞;,/n./@阻塞物;
obstacle ,/n./@障碍;,/n./@阻碍;
collapse ,/v./@坍塌;
conflate ,/v./@合并;
conclave ,/n./@秘密会议;,/n./@教皇选举会议;
mortgage ,/v./@抵押;,/n./@抵押贷款;
probable ,/adj./@可能的;
prostate ,/n./@前列腺;
portable ,/adj./@可携带的;
ordnance ,/n./@軍火;,/n./@軍械;,/n./@軍需;,/n./@大炮;
ornament ,/n./@裝飾;,/n./@裝飾品;
software ,/n./@软件;
shortage ,/n./@不足;,/n./@缺少;
showcase ,/n./@陳列櫃;,/n./@展示场所;,/vt./@展示;,/vt./@展現;,/vt./@陳列;,/vt./@亮相;
stoppage ,/n./@中止;,/n./@阻塞;,/n./@阻礙;,/n./@停工;,/n./@罷工;,/n./@停止;,/n./@中斷;
complain ,/v./@投诉;
contrail ,/n./@凝結尾;
dogmatic ,/adj./@教義的;,/adj./@教條的;,/adj./@武斷的;
locality ,/n./@地区;
modality ,/n./@形式;,/n./@形態;
morality ,/n./@道德品质;
polarity ,/n./@極性;
proclaim ,/v./@宣告;
romantic ,/adj./@浪漫的;
sporadic ,/adj./@零星的;,/adj./@分散的;,/adj./@偶發的;,/adj./@散發的;
November ,/n./@十一月;
bloodlet ,/v./@放血;
observer ,/n./@觀察員;
coherent ,/adj./@連貫的;,/adj./@粘著的;
commence ,/n./@开始;
complete ,/adj./@完全的;
commerce ,/n./@商业;
condense ,/v./@浓缩;
concrete ,/adj./@具體的;,/n./@混凝土;
conserve ,/v./@保护;
converge ,/vi./@汇聚;,/vi./@相交;
converse ,/v./@交談;,/v./@交往;,/n./@相反;,/adj./@相反的;,/adj./@顛倒的;,/n./@逆向;
corvette ,/n./@輕巡洋艦;,/n./@護衛艦;
doorstep ,/n./@門階;
foremost ,/adj./@最初的;,/adj./@一流的;,/adj./@最先的;
forester ,/n./@林務官;,/n./@林务员;
offshore ,/adj./@離岸的;,/adj./@近海的;
goodness ,/n./@善良;,/n./@优秀;
governor ,/n./@统治者;
holdover ,/n./@遺留物;,/n./@留任者;,/n./@剩餘物;
homework ,/n./@家庭作业;
hopeless ,/adj./@无望的;
morpheme ,/n./@词素;
movement ,/n./@运动;
nonsense ,/n./@废话;,/n./@无稽之谈;
opponent ,/n./@對手;,/n./@敵手;
postpone ,/v./@拖延;,/v./@推迟;
showreel ,/n./@案例演示影像;
somebody ,/pron./@有人;,/pron./@某人;
together ,/adv./@一起;
trombone ,/n./@長號;,/n./@伸縮長號;
overflow ,/v./@溢出;,/n./@溢出;
covenant ,/n./@契約;
forecast ,/vt./@预报;
foreland ,/n./@岬;
homeland ,/n./@祖國;,/n./@故鄉;
somewhat ,/adv./@几分;,/adv./@有点;,/adv./@稍微;
tolerant ,/adj./@宽容的;,/adj./@有忍耐性的;
overpass ,/vt./@天桥;
cosmetic ,/n./@化妝品;,/n./@裝飾品;,/adj./@美容的;,/adj./@化妝用的;
domestic ,/adj./@本国的;,/adj./@國內的;,/adj./@家庭的;,/adj./@馴養的;
forensic ,/adj./@法院的;,/n./@法庭的;
phonemic ,/adj./@音位的;
phonetic ,/adj./@語音的;,/adj./@語音學的;
overkill ,/n./@過度殺傷;,/n./@過分誇張;,/n./@超量毁伤;
forceful ,/adj./@有力的;
momentum ,/n./@勢頭;,/n./@動量;,/n./@动力;
powerful ,/adj./@强大的;,/adj./@有力的;
overturn ,/v./@推翻;,/vt./@翻倒;,/vt./@顛覆;,/vt./@掀翻;
broccoli ,/n./@花椰菜;,/n./@西蘭花;
corridor ,/n./@走廊;,/n./@迴廊;,/n./@通道;
goodwill ,/n./@友善;
